Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.8890,0.2302,-0.3257,1.7738,1.8364,1.4651,6.4662,0.4764,0.9094,6.4662,1.7032

2.7750,-0.0785,0.0447,2.0208,2.5155,1.7738,6.5279,0.2294,1.0843,6.5279,1.8620

3.7760,1.6499,-0.0788,2.0825,1.5895,1.7738,6.6514,0.4764,1.2489,6.6514,2.0207

4.7750,0.0450,0.2299,1.5886,1.8364,1.7121,6.0958,0.5999,1.0020,6.0958,1.7297

5.7750,-0.2637,0.6003,1.7121,2.2068,1.8973,6.4662,0.2294,1.0637,6.4662,1.8355

6.7750,0.1684,-0.5726,2.2060,1.4660,1.5268,6.2810,0.2912,0.8476,6.2810,1.6238

7.7750,0.0450,-0.3257,1.7738,1.8364,1.4033,6.2810,0.4764,0.8682,6.2810,1.6415

8.7750,-0.0785,-0.2022,1.8973,2.0834,1.8973,6.2810,0.4147,1.0020,6.2810,1.7561

9.7750,0.3536,0.1682,1.4034,1.4660,1.5886,6.2193,-0.4497,0.7550,6.2193,1.5356

10.7750,0.2302,0.5386,1.9590,1.7747,1.7738,6.2810,0.2912,1.0946,6.2810,1.8355

11.7750,0.1067,-0.0788,1.7738,1.7129,1.5268,5.9723,0.1677,0.8682,5.9723,1.5974

12.7750,0.5388,0.2299,1.7121,1.6512,1.6503,6.4045,0.4147,1.0328,6.4045,1.8002

13.7750,-0.1402,-0.0788,1.8973,1.7129,1.2799,5.6019,0.8468,0.9197,5.6019,1.5886

14.7750,0.2919,0.0447,1.8355,1.5277,1.8355,6.5279,0.1060,0.9402,6.5279,1.7385

15.7750,-0.0785,0.2299,1.5886,1.9599,1.8355,6.6514,0.4764,1.0020,6.6514,1.8090

16.7750,0.2302,0.1065,1.6503,1.6512,1.5886,6.4662,0.0442,0.8785,6.4662,1.6767

17.7750,0.1684,0.3534,2.0208,1.8981,1.2799,5.8489,0.3529,1.0123,5.8489,1.7032

18.7760,-0.0168,-0.0788,2.1442,1.7747,1.8973,6.5279,0.2912,1.0020,6.5279,1.7914

19.7750,-0.0168,-0.0170,2.0208,1.6512,2.5765,6.5897,0.4764,1.1152,6.5897,1.8972

20.7750,-0.2637,-0.0170,2.1442,1.4660,1.8355,6.7132,0.6616,0.9711,6.7132,1.7914

21.7750,-0.0785,-0.2640,1.6503,1.9599,2.2677,6.2193,0.5999,1.0226,6.2193,1.7650

22.7750,0.1067,0.6003,2.0825,1.7747,1.9590,6.1575,0.3529,1.1460,6.1575,1.8620

23.7750,0.0450,-0.0170,1.7121,2.0834,1.9590,6.8366,0.8468,1.1049,6.8366,1.9237

24.7750,-0.0785,0.1682,1.4651,1.8364,2.0208,6.6514,0.3529,0.9608,6.6514,1.7738

25.7750,0.3536,0.0447,1.7121,1.5895,1.5886,6.4662,0.1677,0.9094,6.4662,1.7032

26.7750,0.4771,-0.6961,2.0208,1.8981,1.7121,6.4662,0.3529,0.9608,6.4662,1.7473

27.7750,0.7240,0.1065,1.7738,1.8981,1.7738,6.5897,0.1060,1.0637,6.5897,1.8531

28.7750,-0.0168,-0.0788,1.6503,1.8364,1.8355,6.6514,0.7851,1.0020,6.6514,1.8090

29.7750,-0.4489,0.3534,1.7121,1.7129,1.5268,6.1575,0.4764,0.8888,6.1575,1.6415

30.7750,0.2302,1.1560,2.2060,1.7129,1.0946,6.7132,0.1677,1.0946,6.7132,1.8972

31.7750,0.1684,-0.2640,1.8973,1.7747,2.3912,6.6514,0.2912,1.0431,6.6514,1.8443

32.7750,-0.0785,0.1682,1.8973,1.8981,1.8355,7.7009,0.5381,1.0431,7.7009,1.9942

33.7760,0.2919,-0.5726,1.7121,1.9599,1.2799,6.3427,0.4764,0.8579,6.3427,1.6415

34.7750,0.2302,-0.2640,1.9590,1.8364,1.9590,6.4045,0.1677,0.9814,6.4045,1.7561

35.7750,0.2302,0.2299,1.6503,2.0216,1.5886,6.1575,0.1677,0.9814,6.1575,1.7208

36.7750,-0.0785,-0.0170,1.9590,1.8981,1.6503,6.5279,0.3529,0.9608,6.5279,1.7561

37.7750,0.0450,-0.2022,1.8355,1.0956,1.5886,6.4662,0.2912,0.7756,6.4662,1.5885

38.7750,-0.0168,0.4151,1.9590,1.7747,1.1564,6.6514,0.1060,0.8991,6.6514,1.7208

39.7750,-0.1402,0.0447,1.7738,1.9599,1.9590,6.2193,0.9086,1.0843,6.2193,1.8179

