Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
1.8890,NaN,NaN,NaN

2.7750,0.0015,0.0778,0.0001

3.7760,0.0015,0.0570,0.0001

4.7750,0.0014,0.0655,0.0001

5.7750,0.0014,0.0669,0.0001

6.7750,0.0015,0.0665,0.0001

7.7750,0.0015,0.0693,0.0001

8.7750,0.0015,0.0527,0.0001

9.7750,0.0015,0.0640,0.0001

10.7750,0.0014,0.0631,0.0001

11.7750,0.0014,0.0777,0.0001

12.7750,0.0015,0.0574,0.0001

13.7750,0.0014,0.0589,0.0001

14.7750,0.0015,0.0760,0.0001

15.7750,0.0014,0.0772,0.0001

16.7750,0.0014,0.0711,0.0001

17.7750,0.0014,0.0621,0.0001

18.7760,0.0014,0.0605,0.0001

19.7750,0.0015,0.0690,0.0001

20.7750,0.0014,0.0676,0.0001

21.7750,0.0015,0.0578,0.0001

22.7750,0.0015,0.0621,0.0001

23.7750,0.0015,0.0531,0.0001

24.7750,0.0015,0.0559,0.0001

25.7750,0.0014,0.0577,0.0001

26.7750,0.0015,0.0680,0.0001

27.7750,0.0015,0.0619,0.0001

28.7750,0.0015,0.0545,0.0001

29.7750,0.0015,0.0499,0.0001

30.7750,0.0014,0.0490,0.0001

31.7750,0.0014,0.0502,0.0001

32.7750,0.0014,0.0590,0.0001

33.7760,0.0014,0.0657,0.0001

34.7750,0.0014,0.0654,0.0001

35.7750,0.0014,0.0533,0.0001

36.7750,0.0014,0.0548,0.0001

37.7750,0.0014,0.0692,0.0001

38.7750,0.0014,0.0615,0.0001

39.7750,0.0014,0.0686,0.0001

40.7750,0.0014,0.0666,0.0001

41.7750,0.0014,0.0613,0.0001

42.7750,0.0014,0.0559,0.0001

43.7750,0.0014,0.0726,0.0001

44.7750,0.0014,0.0420,0.0001

45.7750,0.0014,0.0510,0.0001

46.7750,0.0014,0.0624,0.0001

47.7750,0.0014,0.0637,0.0001

48.7750,0.0014,0.0636,0.0001

49.7750,0.0014,0.0707,0.0001

50.7750,0.0014,0.0625,0.0001

51.7750,0.0014,0.0702,0.0001

52.7750,0.0014,0.0574,0.0001

53.7750,0.0014,0.0497,0.0001

54.7750,0.0014,0.0607,0.0001

55.7750,0.0014,0.0592,0.0001

56.7750,0.0014,0.0636,0.0001

57.7750,0.0014,0.0619,0.0001

58.7750,0.0015,0.0695,0.0001

59.7750,0.0014,0.0611,0.0001

60.7750,0.0014,0.0741,0.0001

61.7750,0.0014,0.0690,0.0001

62.7750,0.0014,0.0535,0.0001

63.7750,0.0014,0.0668,0.0001

64.7750,0.0014,0.0607,0.0001

65.7750,0.0014,0.0633,0.0001

66.7750,0.0014,0.0625,0.0001

67.7750,0.0014,0.0556,0.0001

68.7750,0.0014,0.0595,0.0001

69.7750,0.0015,0.0596,0.0001

70.7750,0.0014,0.0654,0.0001

71.7750,0.0014,0.0570,0.0001

72.7750,0.0014,0.0563,0.0001

73.7750,0.0014,0.0649,0.0001

74.7750,0.0014,0.0580,0.0001

75.7750,0.0015,0.0718,0.0001

76.7750,0.0014,0.0572,0.0001

77.7750,0.0014,0.0717,0.0001

78.7750,0.0014,0.0652,0.0001

79.7750,0.0014,0.0559,0.0001

80.7750,0.0014,0.0739,0.0001

81.7750,0.0014,0.0526,0.0001

82.7750,0.0014,0.0516,0.0001

83.7760,0.0014,0.0674,0.0001

84.7750,0.0015,0.0739,0.0001

85.7750,0.0015,0.0648,0.0001

86.7750,0.0015,0.0665,0.0001

87.7750,0.0015,0.0536,0.0001

88.7760,0.0015,0.0591,0.0001

89.7750,0.0015,0.0658,0.0001

90.7750,0.0015,0.0655,0.0001

91.7750,0.0015,0.0643,0.0001

92.7750,0.0015,0.0575,0.0001

93.7750,0.0015,0.0655,0.0001

94.7750,0.0015,0.0614,0.0001

95.7750,0.0015,0.0646,0.0001

96.7750,0.0015,0.0553,0.0001

97.7750,0.0015,0.0484,0.0001

98.7750,0.0014,0.0727,0.0001

99.7750,0.0014,0.0636,0.0001

100.7750,0.0014,0.0628,0.0001

101.7750,0.0015,0.0677,0.0001

102.7750,0.0015,0.0694,0.0001

103.7750,0.0014,0.0623,0.0001

104.7750,0.0014,0.0538,0.0001

105.7750,0.0014,0.0742,0.0001

106.7750,0.0014,0.0596,0.0001

107.7750,0.0015,0.0715,0.0001

108.7750,0.0015,0.0565,0.0001

109.7750,0.0015,0.0503,0.0001

110.7750,0.0015,0.0569,0.0001

111.7750,0.0015,0.0600,0.0001

112.7750,0.0014,0.0586,0.0001

113.7750,0.0015,0.0736,0.0001

114.7750,0.0015,0.0616,0.0001

115.7750,0.0015,0.0698,0.0001

116.7750,0.0015,0.0702,0.0001

117.7750,0.0015,0.0681,0.0001

118.7750,0.0015,0.0661,0.0001

119.7750,0.0015,0.0647,0.0001

120.7750,0.0015,0.0627,0.0001

121.7750,0.0014,0.0574,0.0001

122.7750,0.0014,0.0472,0.0001

123.7750,0.0014,0.0612,0.0001

124.7750,0.0014,0.0568,0.0001

125.7750,0.0014,0.0686,0.0001

126.7750,0.0015,0.0660,0.0001

127.7750,0.0015,0.0705,0.0001

128.7750,0.0015,0.0488,0.0001

129.7750,0.0014,0.0643,0.0001

130.7750,0.0014,0.0679,0.0001

131.7750,0.0015,0.0511,0.0001

132.7750,0.0015,0.0609,0.0001

133.7750,0.0015,0.0714,0.0001

134.7750,0.0014,0.0627,0.0001

135.7750,0.0014,0.0729,0.0001

136.7750,0.0014,0.0622,0.0001

137.7750,0.0014,0.0530,0.0001

138.7750,0.0014,0.0659,0.0001

139.7750,0.0014,0.0663,0.0001

140.7750,0.0014,0.0544,0.0001

141.7750,0.0014,0.0696,0.0001

142.7750,0.0014,0.0592,0.0001

143.7750,0.0014,0.0654,0.0001

144.7750,0.0014,0.0573,0.0001

145.7750,0.0015,0.0696,0.0001

146.7760,0.0014,0.0610,0.0001

147.7750,0.0014,0.0611,0.0001

148.7750,0.0015,0.0547,0.0001

149.7750,0.0014,0.0638,0.0001

150.7750,0.0014,0.0569,0.0001

151.7750,0.0014,0.0699,0.0001

152.7750,0.0014,0.0628,0.0001

153.7750,0.0014,0.0697,0.0001

154.7750,0.0014,0.0583,0.0001

155.7750,0.0014,0.0708,0.0001

156.7750,0.0014,0.0714,0.0001

157.7750,0.0014,0.0724,0.0001

158.7750,0.0014,0.0606,0.0001

159.7760,0.0014,0.0649,0.0001

160.7760,0.0014,0.0641,0.0001

161.7750,0.0014,0.0648,0.0001

162.7750,0.0014,0.0663,0.0001

163.7750,0.0014,0.0670,0.0001

164.7750,0.0014,0.0620,0.0001

165.7750,0.0014,0.0591,0.0001

166.7750,0.0014,0.0699,0.0001

167.7760,0.0014,0.0643,0.0001

168.7750,0.0014,0.0640,0.0001

169.7750,0.0014,0.0492,0.0001

170.7750,0.0014,0.0465,0.0001

171.7750,0.0014,0.0674,0.0001

172.7750,0.0014,0.0675,0.0001

173.7750,0.0014,0.0677,0.0001

174.7750,0.0014,0.0655,0.0001

175.7750,0.0014,0.0624,0.0001

176.7750,0.0015,0.0669,0.0001

177.7750,0.0014,0.0650,0.0001

178.7750,0.0014,0.0671,0.0001

179.7750,0.0014,0.0741,0.0001

180.7750,0.0014,0.0699,0.0001

181.7750,0.0015,0.0682,0.0001

182.7750,0.0015,0.0699,0.0001

183.7760,0.0014,0.0599,0.0001

184.7750,0.0015,0.0637,0.0001

185.7750,0.0015,0.0738,0.0001

