Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.8820,2.2054,2.1438,4.6139,4.5527,4.4905,8.5652,3.3782,3.5641,8.5652,4.2785

2.4800,2.2672,2.4524,4.3669,5.7257,4.7992,8.5035,2.9460,3.7596,8.5035,4.4373

3.4810,1.8968,2.6994,4.4904,4.4293,4.3053,8.6887,3.1313,3.4921,8.6887,4.2344

4.4800,1.9585,2.0820,4.5521,4.0589,4.4905,7.8861,3.6252,3.4612,7.8861,4.0933

5.4800,2.1437,2.1438,4.4904,4.5527,4.7375,9.3061,2.9460,3.5023,9.3061,4.3314

6.4800,1.8968,2.2055,4.4904,4.3675,4.6140,10.2938,3.3782,3.4921,10.2938,4.4637

7.4800,2.2672,2.3290,4.6139,3.9971,4.6140,9.4913,3.3782,3.5332,9.4913,4.3844

8.4800,2.0820,2.0203,4.7373,4.5527,4.6140,9.6765,3.5017,3.5847,9.6765,4.4549

9.4800,2.3289,2.0820,4.4286,4.3675,4.3053,10.1086,3.6869,3.5332,10.1086,4.4726

10.4800,2.2054,2.2055,5.0460,4.5527,4.3670,10.1704,3.3165,3.6155,10.1704,4.5519

11.4810,2.1437,2.2672,4.2434,4.4293,4.4905,9.9234,3.3782,3.4921,9.9234,4.4108

12.4800,1.8351,2.0820,4.3669,4.6145,4.1818,10.2938,3.3782,3.4097,10.2938,4.3932

13.4800,1.8351,2.2672,4.4286,5.1701,4.4287,9.9851,3.1930,3.5538,9.9851,4.4726

14.4800,2.2054,2.1438,4.6139,5.6640,4.6757,10.5408,3.0695,3.7287,10.5408,4.7019

15.4800,2.2054,2.6994,4.2434,4.4293,4.4287,10.0469,3.1930,3.5332,10.0469,4.4637

16.4800,1.8351,1.7733,4.4286,4.7997,4.2435,10.1704,3.3165,3.3995,10.1704,4.3667

17.4810,2.0203,2.4524,4.4286,4.6145,3.8731,10.6642,3.0078,3.3994,10.6642,4.4373

18.4800,1.7733,2.6376,4.4286,4.6762,4.6140,9.9851,3.1930,3.5538,9.9851,4.4726

19.4800,1.8351,1.9585,4.5521,4.4293,4.4287,10.4173,4.1191,3.5538,10.4173,4.5343

20.4800,1.7733,2.1438,4.6139,4.4293,4.6757,10.4173,2.8843,3.4200,10.4173,4.4196

