Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.8920,0.7958,2.0825,0.0000,0.0000

2.2480,0.7929,2.0670,0.0000,0.0000

3.2440,0.7952,2.0927,0.0000,0.0001

4.2440,0.7988,2.1185,0.0000,0.0001

5.2440,0.7966,2.0619,0.0000,0.0001

6.2440,0.7952,2.0619,0.0000,0.0001

7.2440,0.7944,2.0670,0.0000,0.0001

8.2440,0.7956,2.1030,0.0000,0.0001

9.2440,0.7961,2.0927,0.0000,0.0001

10.2440,0.7962,2.0876,0.0000,0.0001

11.2440,0.7958,2.0722,0.0000,0.0007

12.2440,0.7962,2.0773,0.0000,0.0009

13.2440,0.7964,2.0979,0.0000,0.0009

14.2440,0.7929,2.0259,0.0000,0.0063

15.2450,0.7938,2.0876,0.0000,0.0689

16.2450,0.7934,2.0516,25.4083,0.1378

17.2440,0.7917,2.0207,26.0171,0.1340

18.2440,0.7907,2.0773,25.5988,0.1361

19.2440,0.7901,2.0773,25.4180,0.1223

20.2440,0.7889,2.0567,25.7601,0.1199

21.2440,0.7877,2.0413,26.0585,0.1429

22.2450,0.7877,2.0773,26.0774,0.1419

23.2450,0.7863,2.0619,26.0446,0.1450

24.2440,0.7909,2.1442,25.6649,0.1401

25.2440,0.7901,2.0670,25.5461,0.1375

26.2440,0.7923,2.1082,25.2587,0.1112

27.2440,0.7948,2.0876,25.4379,0.1416

28.2440,0.7940,2.0567,25.9958,0.1440

29.2440,0.7936,2.0670,26.1060,0.1431

30.2440,0.7940,2.0670,25.5873,0.1406

31.2440,0.7952,2.0722,25.5079,0.1328

32.2440,0.7966,2.1133,25.6422,0.1400

33.2440,0.7962,2.0516,25.4846,0.1321

34.2440,0.7915,2.0207,25.7544,0.1415

35.2440,0.7917,2.0722,25.9215,0.1343

36.2440,0.7899,2.0619,25.7858,0.1283

37.2440,0.7907,2.1082,25.6788,0.1399

38.2450,0.7915,2.0773,25.9146,0.1377

39.2440,0.7915,2.0670,25.9173,0.1423

40.2450,0.7917,2.0722,25.5373,0.1278

41.2440,0.7905,2.0413,25.2735,0.1313

42.2440,0.7885,2.0619,25.4106,0.1410

43.2440,0.7891,2.0670,25.6189,0.1415

44.2440,0.7917,2.0876,25.4029,0.1362

45.2440,0.7921,2.0825,25.1884,0.1387

46.2450,0.7919,2.0567,25.4978,0.1400

47.2440,0.7901,2.0619,25.5586,0.1402

48.2440,0.7887,2.0413,25.6557,0.1329

49.2440,0.7899,2.0979,25.4449,0.1340

50.2440,0.7891,2.0516,25.5191,0.1406

