Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
1.8510,NaN,NaN,NaN

2.3290,0.0014,-0.0242,-0.0000

3.3290,0.0014,-0.0288,-0.0000

4.3290,0.0014,-0.0177,-0.0000

5.3290,0.0014,-0.0240,-0.0000

6.3290,0.0014,-0.0235,-0.0000

7.3300,0.0014,-0.0278,-0.0000

8.3290,0.0014,-0.0144,-0.0000

9.3290,0.0014,-0.0146,-0.0000

10.3290,0.0014,-0.0090,-0.0000

11.3290,0.0014,-0.0122,-0.0000

12.3290,0.0014,-0.0182,-0.0000

13.3290,0.0014,-0.0141,-0.0000

14.3290,0.0014,-0.0156,-0.0000

15.3290,0.0014,-0.0385,-0.0001

16.3290,0.0004,-0.0802,-0.0000

17.3290,0.0745,4.1522,0.3092

18.3290,2.4376,151.4769,369.2388

19.3290,2.4467,151.5404,370.7784

20.3290,1.5849,86.7900,137.5511

21.3290,0.8295,39.6610,32.8979

22.3290,0.7053,33.1220,23.3610

23.3290,0.6043,28.0191,16.9309

24.3290,0.5289,24.3925,12.9021

25.3290,0.4868,22.3399,10.8760

26.3290,0.4788,21.9348,10.5028

27.3290,0.4782,21.8899,10.4683

28.3290,0.4781,21.8573,10.4499

29.3290,0.4781,21.8370,10.4410

30.3290,0.4781,21.8352,10.4393

31.3290,0.4780,21.8161,10.4289

32.3290,0.4780,21.7959,10.4193

33.3290,0.4781,21.7830,10.4148

34.3290,0.4782,21.7661,10.4077

35.3290,0.4782,21.7317,10.3911

36.3290,0.4782,21.7241,10.3887

37.3290,0.4782,21.7056,10.3804

38.3290,0.4782,21.7006,10.3779

39.3290,0.4782,21.6922,10.3739

40.3290,0.4785,21.6094,10.3403

41.3290,0.4787,21.5358,10.3083

42.3290,0.4787,21.5276,10.3059

43.3290,0.4788,21.5082,10.2989

44.3290,0.4788,21.4919,10.2911

45.3290,0.4789,21.4805,10.2867

46.3290,0.4788,21.4869,10.2888

47.3290,0.4789,21.4876,10.2903

48.3300,0.4789,21.4563,10.2751

49.3290,0.4789,21.4401,10.2680

50.3290,0.4790,21.4473,10.2729

51.3290,0.4789,21.4291,10.2627

52.3290,0.4790,21.4281,10.2645

53.3290,0.4790,21.4125,10.2557

54.3290,0.4790,21.4347,10.2671

55.3290,0.4790,21.4168,10.2586

56.3290,0.4790,21.4206,10.2609

57.3300,0.4790,21.4037,10.2531

58.3290,0.4791,21.4080,10.2557

59.3290,0.4791,21.3861,10.2453

60.3290,0.4791,21.3787,10.2417

61.3290,0.4792,21.3670,10.2381

62.3290,0.4791,21.3610,10.2340

63.3290,0.4792,21.3620,10.2356

64.3290,0.4791,21.3501,10.2296

65.3290,0.4792,21.3530,10.2315

66.3300,0.4792,21.3405,10.2270

67.3300,0.4792,21.3424,10.2266

68.3290,0.4792,21.3580,10.2341

69.3290,0.4791,21.3352,10.2225

70.3290,0.4792,21.3387,10.2254

71.3290,0.4792,21.3526,10.2315

72.3290,0.4792,21.3267,10.2193

73.3290,0.4792,21.3201,10.2174

74.3290,0.4792,21.3250,10.2196

75.3290,0.4792,21.3165,10.2150

76.3290,0.4793,21.3226,10.2196

77.3290,0.4792,21.3201,10.2163

78.3290,0.4792,21.3306,10.2221

79.3300,0.4792,21.3026,10.2090

80.3290,0.4792,21.3140,10.2136

81.3290,0.4792,21.3119,10.2134

82.3300,0.4792,21.3056,10.2099

83.3290,0.4792,21.3090,10.2115

84.3290,0.4793,21.3098,10.2137

85.3290,0.4793,21.3128,10.2147

86.3290,0.4793,21.2912,10.2043

87.3290,0.4792,21.2954,10.2056

88.3290,0.4792,21.3009,10.2079

89.3290,0.4792,21.3018,10.2088

90.3290,0.4792,21.3032,10.2094

91.3290,0.4792,21.2944,10.2050

92.3290,0.4792,21.3015,10.2084

93.3290,0.4792,21.2936,10.2043

94.3290,0.4792,21.2925,10.2036

95.3290,0.4792,21.2850,10.2003

96.3290,0.4792,21.3005,10.2077

97.3290,0.4792,21.2847,10.2000

98.3290,0.4805,21.3545,10.2610

99.3290,0.5935,26.2743,15.5928

100.3290,0.8110,35.9322,29.1406

101.3290,1.0032,45.0949,45.2400

102.3290,1.0732,48.1597,51.6833

103.3290,1.0816,48.2991,52.2389

104.3290,1.0832,48.0442,52.0413

105.3290,1.0837,47.9291,51.9422

106.3300,1.0838,47.9106,51.9271

107.3290,1.0841,47.8634,51.8878

108.3290,1.0841,47.8448,51.8703

109.3290,1.0839,47.9222,51.9420

110.3290,1.0838,47.9639,51.9851

111.3290,1.0840,47.9152,51.9381

112.3290,1.0837,47.9748,51.9906

113.3290,1.0835,48.0202,52.0306

114.3290,1.0833,48.1208,52.1310

115.3290,1.0831,48.1763,52.1790

116.3290,1.0827,48.2484,52.2396

117.3290,1.0829,48.2525,52.2513

118.3290,1.0830,48.1918,52.1908

119.3290,1.0830,48.1969,52.1988

120.3290,1.0831,48.1618,52.1641

121.3290,1.0831,48.1432,52.1441

122.3300,1.0833,48.1269,52.1338

123.3290,1.0832,48.1099,52.1104

124.3290,1.0828,48.2686,52.2643

125.3290,1.0826,48.2799,52.2685

126.3290,1.0826,48.2876,52.2774

127.3290,1.0827,48.2963,52.2881

128.3290,1.0828,48.2504,52.2468

129.3290,1.0830,48.1831,52.1845

130.3290,1.0828,48.2280,52.2226

131.3290,1.0831,48.1760,52.1790

132.3290,1.0833,48.1310,52.1385

133.3300,1.0831,48.1479,52.1511

134.3290,1.0832,48.1622,52.1700

135.3290,1.0830,48.1963,52.1945

136.3290,1.0832,48.1446,52.1484

