Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.9870,25.7226,25.7961,23.7759,23.9225,23.8629,23.9712,24.5365,24.7894,24.6160,24.3803,24.5471

2.7760,25.7033,25.7819,23.8042,23.9413,23.8767,23.9926,24.5294,24.7998,24.6215,24.3962,24.5536

3.7760,25.6834,25.7761,23.8007,23.9482,23.8672,23.9566,24.5178,24.8017,24.6151,24.3792,24.5440

4.7760,25.6805,25.7919,23.8354,23.9399,23.8468,23.9755,24.5374,24.8158,24.6189,24.3956,24.5529

5.7760,25.6822,25.8083,23.8216,23.9365,23.8504,23.9625,24.5137,24.7929,24.6198,24.3777,24.5460

6.7760,25.7057,25.7866,23.8046,23.9541,23.8423,23.9875,24.5279,24.8141,24.6187,24.4008,24.5529

7.7760,25.6873,25.7944,23.8105,23.9368,23.8385,23.9893,24.5286,24.7905,24.6135,24.3899,24.5470

8.7760,25.6830,25.7758,23.7924,23.9366,23.8649,24.0082,24.5133,24.7861,24.6105,24.3971,24.5450

9.7760,25.6937,25.7945,23.7893,23.9113,23.8416,23.9830,24.5254,24.6948,24.6061,24.3389,24.5292

10.7760,25.6763,25.8008,23.8070,23.9480,23.8511,24.0114,24.5355,24.6230,24.6167,24.3172,24.5317

11.7760,25.6995,25.7873,23.8029,23.9448,23.8493,24.0422,24.5252,24.5579,24.6167,24.3001,24.5261

12.7760,25.6978,25.7888,23.7936,23.9406,23.8532,24.0821,24.5150,24.4990,24.6148,24.2905,24.5213

13.7770,25.6803,25.7767,23.7933,23.9398,23.8429,24.0958,24.5345,24.4418,24.6066,24.2688,24.5131

14.7760,25.7009,25.7777,23.8099,23.9262,23.8568,24.1197,24.5218,24.4052,24.6143,24.2625,24.5148

15.7760,25.6839,25.7775,23.8064,23.9435,23.8346,24.1457,24.5259,24.3410,24.6092,24.2433,24.5073

16.7760,25.6973,25.7767,23.8042,23.9276,23.8395,24.1889,24.5364,24.2716,24.6091,24.2303,24.5053

17.7770,25.7066,25.7838,23.8013,23.9338,23.8469,24.2228,24.5450,24.2384,24.6145,24.2306,24.5098

18.7760,25.7083,25.7911,23.8077,23.9335,23.8477,24.2510,24.5343,24.2136,24.6176,24.2323,24.5109

19.7760,25.6866,25.7923,23.8019,23.9319,23.8303,24.2846,24.5365,24.1986,24.6086,24.2416,24.5078

