Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
1.9870,NaN,NaN,NaN

2.7760,0.0017,0.0618,0.0001

3.7760,0.0017,0.0746,0.0001

4.7760,0.0017,0.0587,0.0001

5.7760,0.0017,0.0561,0.0001

6.7760,0.0017,0.0602,0.0001

7.7760,0.0017,0.0565,0.0001

8.7760,0.0017,0.0617,0.0001

9.7760,0.0017,0.0649,0.0001

10.7760,0.0017,0.0629,0.0001

11.7760,0.0017,0.0702,0.0001

12.7760,0.0017,0.0624,0.0001

13.7770,0.0017,0.0682,0.0001

14.7760,0.0017,0.0696,0.0001

15.7760,0.0017,0.0619,0.0001

16.7760,0.0017,0.0651,0.0001

17.7770,0.0017,0.0578,0.0001

18.7760,0.0017,0.0548,0.0001

19.7760,0.0017,0.0665,0.0001

20.7760,0.0017,0.0732,0.0001

21.7760,0.0017,0.0667,0.0001

22.7760,0.0017,0.0588,0.0001

23.7760,0.0017,0.0657,0.0001

24.7760,0.0017,0.0686,0.0001

25.7760,0.0017,0.0647,0.0001

26.7760,0.0017,0.0689,0.0001

27.7760,0.0017,0.0557,0.0001

28.7760,0.0017,0.0666,0.0001

29.7760,0.0017,0.0683,0.0001

30.7760,0.0017,0.0554,0.0001

31.7760,0.0017,0.0664,0.0001

32.7760,0.0017,0.0593,0.0001

33.7760,0.0017,0.0717,0.0001

34.7760,0.0017,0.0685,0.0001

35.7760,0.0017,0.0648,0.0001

36.7760,0.0017,0.0536,0.0001

37.7760,0.0017,0.0575,0.0001

38.7760,0.0017,0.0601,0.0001

39.7770,0.0017,0.0590,0.0001

40.7760,0.0017,0.0604,0.0001

41.7760,0.0017,0.0692,0.0001

42.7760,0.0017,0.0597,0.0001

43.7770,0.0017,0.0622,0.0001

44.7760,0.0017,0.0576,0.0001

45.7760,0.0017,0.0602,0.0001

46.7760,0.0017,0.0554,0.0001

47.7760,0.0017,0.0608,0.0001

48.7770,0.0017,0.0661,0.0001

49.7760,0.0017,0.0506,0.0001

50.7770,0.0017,0.0573,0.0001

51.7770,0.0017,0.0644,0.0001

52.7760,0.0017,0.0670,0.0001

53.7760,0.0017,0.0660,0.0001

54.7770,0.0017,0.0621,0.0001

55.7770,0.0017,0.0499,0.0001

56.7760,0.0017,0.0606,0.0001

57.7760,0.0017,0.0608,0.0001

58.7760,0.0017,0.0588,0.0001

59.7760,0.0017,0.0515,0.0001

60.7760,0.0017,0.0536,0.0001

61.7760,0.0017,0.0732,0.0001

62.7760,0.0017,0.0630,0.0001

63.7760,0.0017,0.0630,0.0001

64.7760,0.0017,0.0575,0.0001

65.7760,0.0017,0.0592,0.0001

66.7760,0.0017,0.0531,0.0001

67.7760,0.0017,0.0560,0.0001

68.7760,0.0017,0.0464,0.0001

69.7760,0.0017,0.0581,0.0001

70.7760,0.0017,0.0502,0.0001

71.7760,0.0017,0.0625,0.0001

72.7760,0.0017,0.0489,0.0001

73.7760,0.0018,0.0665,0.0001

74.7770,0.0017,0.0626,0.0001

75.7770,0.0017,0.0648,0.0001

76.7760,0.0017,0.0605,0.0001

77.7760,0.0017,0.0554,0.0001

78.7770,0.0017,0.0576,0.0001

79.7760,0.0017,0.0640,0.0001

80.7760,0.0017,0.0607,0.0001

81.7760,0.0017,0.0572,0.0001

82.7760,0.0017,0.0524,0.0001

83.7760,0.0017,0.0647,0.0001

84.7760,0.0017,0.0506,0.0001

85.7760,0.0017,0.0582,0.0001

86.7760,0.0017,0.0616,0.0001

87.7760,0.0017,0.0431,0.0001

88.7760,0.0017,0.0529,0.0001

89.7760,0.0017,0.0616,0.0001

90.7760,0.0017,0.0586,0.0001

91.7760,0.0017,0.0551,0.0001

92.7760,0.0017,0.0623,0.0001

93.7760,0.0017,0.0509,0.0001

94.7760,0.0017,0.0467,0.0001

95.7760,0.0017,0.0582,0.0001

96.7760,0.0017,0.0571,0.0001

97.7760,0.0017,0.0687,0.0001

98.7770,0.0017,0.0685,0.0001

99.7760,0.0017,0.0603,0.0001

100.7770,0.0017,0.0628,0.0001

101.7760,0.0017,0.0729,0.0001

102.7760,0.0017,0.0584,0.0001

103.7760,0.0017,0.0593,0.0001

104.7770,0.0017,0.0564,0.0001

105.7760,0.0017,0.0717,0.0001

106.7760,0.0017,0.0568,0.0001

107.7760,0.0017,0.0582,0.0001

108.7760,0.0017,0.0553,0.0001

109.7760,0.0017,0.0555,0.0001

110.7760,0.0017,0.0555,0.0001

111.7760,0.0017,0.0628,0.0001

112.7760,0.0017,0.0647,0.0001

113.7770,0.0017,0.0698,0.0001

114.7760,0.0017,0.0728,0.0001

115.7760,0.0017,0.0698,0.0001

116.7760,0.0017,0.0511,0.0001

117.7760,0.0017,0.0527,0.0001

118.7760,0.0017,0.0540,0.0001

119.7760,0.0017,0.0617,0.0001

120.7760,0.0017,0.0692,0.0001

121.7760,0.0017,0.0578,0.0001

122.7760,0.0017,0.0669,0.0001

123.7760,0.0017,0.0632,0.0001

124.7760,0.0017,0.0511,0.0001

125.7760,0.0017,0.0714,0.0001

126.7760,0.0017,0.0752,0.0001

