Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.9050,1.9585,3.0698,4.4904,4.3675,4.4287,5.7254,2.8843,3.5332,5.7254,3.8464

2.2600,2.0820,1.4647,4.4286,4.5527,3.9965,6.0341,3.2547,3.2966,6.0341,3.6876

3.1230,1.8351,2.2672,4.4904,4.6145,4.3053,5.8489,2.7608,3.3789,5.8489,3.7317

4.1220,2.0203,1.8968,4.4286,3.5650,4.6757,5.7254,2.8843,3.2451,5.7254,3.5994

5.1220,1.7116,1.7733,4.4286,4.4293,4.2435,5.9106,2.8225,3.2348,5.9106,3.6171

6.1220,1.6499,2.0203,4.8608,3.9971,4.3053,6.0341,3.0695,3.3171,6.0341,3.7053

7.1220,2.0203,2.0820,4.3052,4.4293,4.4905,5.9723,3.0078,3.3892,5.9723,3.7582

8.1230,1.5264,2.2055,4.3669,4.2441,3.9965,6.2193,2.9460,3.2142,6.2193,3.6435

9.1220,1.7733,2.0820,4.4904,4.6145,4.4287,6.1575,2.9460,3.3892,6.1575,3.7846

10.1220,1.9585,1.9585,4.4286,3.9354,4.3053,6.5279,2.9460,3.2554,6.5279,3.7229

11.1220,2.6993,1.4029,5.2930,4.5527,4.1818,6.2810,3.1313,3.5435,6.2810,3.9346

12.1220,1.8351,1.8968,4.4286,4.2441,4.2435,6.5897,3.0695,3.2863,6.5897,3.7582

13.1220,2.2054,1.9585,4.3669,4.0589,4.4905,6.5897,3.3165,3.3995,6.5897,3.8552

14.1220,1.6499,1.7733,4.7373,4.2441,4.3670,6.7132,3.7487,3.4201,6.7132,3.8905

15.1220,2.0820,1.9585,4.2434,4.6145,4.1818,6.5279,2.9460,3.3377,6.5279,3.7935

16.1220,1.8968,2.2672,4.6756,4.6762,4.0583,7.1453,2.8843,3.4097,7.1453,3.9434

17.1220,1.9585,2.0820,4.3669,4.9231,4.3053,6.5897,2.8225,3.4097,6.5897,3.8640

18.1220,1.7116,2.1438,4.5521,4.9231,4.1818,6.5897,2.8843,3.3995,6.5897,3.8552

19.1220,1.8351,1.5881,4.9843,4.2441,4.0583,7.0218,2.8843,3.2657,7.0218,3.8023

20.1220,1.9585,2.7611,4.1199,4.6145,4.2435,6.8984,3.4400,3.5229,6.8984,4.0051

21.1230,2.1437,1.9585,4.4286,4.3058,4.3670,6.2810,2.9460,3.3583,6.2810,3.7758

22.1220,2.0203,2.1438,4.4904,4.3675,4.1818,7.3305,3.0078,3.3686,7.3305,3.9346

23.1220,1.8351,1.9585,4.7991,4.0589,4.3670,7.1453,3.0695,3.3480,7.1453,3.8905

24.1220,2.0820,2.0203,4.3052,4.1823,4.3053,7.0218,3.3165,3.3686,7.0218,3.8905

25.1230,1.8968,2.0203,4.4286,4.3058,3.6261,7.0836,3.3782,3.2760,7.0836,3.8199

26.1220,1.7733,2.2055,4.4286,4.2441,4.6140,7.6392,3.2547,3.4200,7.6392,4.0228

27.1220,1.8351,1.8968,4.4904,4.5527,4.5522,7.5775,3.1313,3.4097,7.5775,4.0051

28.1220,2.3289,1.9585,4.4286,4.2441,4.3670,7.1453,3.6869,3.5023,7.1453,4.0228

29.1220,1.7733,2.2672,4.0582,4.3675,4.3670,7.7627,3.0695,3.3171,7.7627,3.9522

30.1220,1.8968,2.3290,4.6139,4.3058,4.1200,7.6392,3.1930,3.4097,7.6392,4.0139

31.1220,1.7733,1.7733,4.9226,4.3058,4.7375,8.0096,3.0695,3.4303,8.0096,4.0845

32.1220,1.6499,1.7116,4.5521,4.0589,4.2435,7.7009,3.1313,3.2245,7.7009,3.8640

33.1220,1.6499,2.5759,4.4286,4.2441,4.6757,7.5775,2.8843,3.4098,7.5775,4.0051

34.1220,2.0203,1.7733,4.4286,4.3675,3.9965,8.2565,3.2547,3.3068,8.2565,4.0139

35.1220,2.0203,2.0820,4.6756,4.2441,3.9965,8.2565,2.9460,3.3274,8.2565,4.0316

36.1220,2.1437,2.4524,4.6139,4.5527,4.4905,8.0713,2.6373,3.4818,8.0713,4.1374

37.1220,2.1437,2.2055,4.4286,4.7997,4.1818,8.5035,3.0078,3.4612,8.5035,4.1815

38.1220,1.7116,2.2672,4.3669,4.9849,4.3670,8.1948,3.0078,3.4509,8.1948,4.1286

39.1230,2.5758,1.0325,4.5521,4.4293,4.3053,8.6270,3.0078,3.3171,8.6270,4.0757

40.1220,1.8351,1.8968,4.3669,4.4293,3.7496,8.3800,3.1930,3.2451,8.3800,3.9787

41.1220,3.0696,2.5759,4.1817,3.8737,4.0583,8.6270,2.9460,3.4509,8.6270,4.1903

42.1220,1.8968,1.9585,4.4286,4.3675,4.0583,8.2565,3.0695,3.2966,8.2565,4.0051

43.1220,2.2054,1.8968,4.3669,4.2441,4.5522,8.1948,3.2547,3.4200,8.1948,4.1021

44.1220,1.9585,1.9585,5.0460,4.1206,4.1818,8.8739,3.0078,3.3789,8.8739,4.1639

45.1220,1.8351,2.7611,5.7869,4.4293,3.9348,8.6887,3.1930,3.6567,8.6887,4.3756

46.1220,1.8968,1.7116,4.5521,4.4910,4.7992,9.3678,3.2547,3.4509,9.3678,4.2962

47.1220,2.0203,2.3290,3.7495,4.6145,4.0583,9.0591,3.1930,3.3274,9.0591,4.1462

48.1220,1.7733,1.8351,4.1817,3.8737,4.5522,8.9974,3.1313,3.2245,8.9974,4.0492

49.1220,2.0820,2.1438,4.3669,4.3058,4.1818,9.6147,2.7608,3.3068,9.6147,4.2080

50.1220,2.0820,1.7733,4.3052,4.4293,4.2435,9.5530,3.0695,3.3171,9.5530,4.2080

51.1230,1.7733,1.9585,4.6139,3.9354,4.3670,10.4790,3.3165,3.3274,10.4790,4.3491

52.1220,1.4030,1.9585,4.4286,4.7379,4.2435,9.7999,3.1930,3.3274,9.7999,4.2521

53.1220,1.8351,1.8968,4.6756,4.2441,4.1200,10.1704,3.1313,3.3171,10.1704,4.2962

54.1220,2.0203,1.2177,4.6139,4.1823,4.3053,10.1704,2.6991,3.1731,10.1704,4.1727

55.1220,2.1437,2.0820,4.8608,4.6145,4.4287,9.9234,2.9460,3.5126,9.9234,4.4285

56.1220,1.8968,2.2672,4.3669,4.3058,4.3670,9.8617,3.1313,3.3892,9.8617,4.3138

57.1220,1.8968,2.5759,4.6139,4.3058,4.3670,9.8617,2.8843,3.4406,9.8617,4.3579

58.1220,1.7733,2.3290,4.3669,4.6762,4.4905,9.9851,2.8225,3.4097,9.9851,4.3491

59.1220,2.0203,2.3290,4.8608,4.6762,4.4287,9.9851,3.0695,3.5641,9.9851,4.4814

60.1220,1.9585,2.1438,4.3052,4.1823,4.6757,9.7999,3.0695,3.3892,9.7999,4.3050

61.1220,2.0820,2.0203,4.2434,4.5527,4.1818,9.9851,2.8843,3.3274,9.9851,4.2785

62.1220,1.7733,1.8968,4.3669,4.4910,4.1200,10.1086,3.2547,3.3171,10.1086,4.2873

63.1220,1.4647,1.8351,4.0582,4.4910,3.9965,10.2938,3.2547,3.1834,10.2938,4.1992

64.1230,1.8968,2.2672,4.5521,4.4910,4.1200,10.5408,3.0078,3.3892,10.5408,4.4108

65.1220,2.1437,1.8351,4.4286,4.3058,4.5522,9.9234,3.3782,3.4406,9.9234,4.3667

66.1230,1.7733,1.6499,5.6017,4.3675,4.1818,10.5408,3.1313,3.4509,10.5408,4.4638

67.1220,1.7733,2.0820,4.3052,4.6762,4.4905,10.0469,3.0695,3.3995,10.0469,4.3491

68.1230,2.0203,2.5142,4.2434,4.2441,4.3670,10.2938,2.4521,3.3068,10.2938,4.3050

69.1220,2.3906,1.8351,4.4286,4.3058,4.6140,10.5408,3.0078,3.4303,10.5408,4.4461

70.1220,1.7733,2.1438,4.5521,4.5527,4.2435,11.0347,3.1930,3.4097,11.0347,4.4990

71.1220,1.8968,1.8968,4.3669,4.6145,3.9348,10.5408,3.1930,3.3171,10.5408,4.3491

72.1220,1.8351,2.5759,4.4904,4.2441,4.1818,10.2938,3.2547,3.4303,10.2938,4.4108

73.1220,1.8351,1.8968,4.6756,4.3675,4.6757,10.7260,3.0695,3.4200,10.7260,4.4637

74.1220,1.2795,2.5759,4.3669,4.4293,4.3670,10.4173,3.1313,3.3583,10.4173,4.3667

75.1220,2.6375,2.2672,4.4904,3.9971,4.4905,10.2321,2.8843,3.4612,10.2321,4.4284

76.1220,1.9585,1.8968,4.4286,4.5527,4.7375,10.6025,2.8843,3.4097,10.6025,4.4373

77.1230,1.8968,2.6376,4.4286,4.3058,4.3053,10.5408,3.2547,3.4715,10.5408,4.4814

78.1220,2.0203,1.7116,4.4904,4.7379,4.6140,10.5408,2.8225,3.3995,10.5408,4.4196

79.1220,1.7733,1.8968,4.3052,4.1823,4.4287,10.3556,3.2547,3.3069,10.3556,4.3138

80.1220,1.6499,2.3907,4.5521,3.9971,4.1200,10.5408,3.1313,3.3069,10.5408,4.3403

81.1220,1.7733,1.4647,3.0704,4.1206,4.3053,10.7260,3.0078,2.9570,10.7260,4.0669

82.1220,1.9585,2.1438,4.4904,4.4910,3.9965,10.9112,2.8843,3.3274,10.9112,4.4108

83.1220,1.8351,2.0203,4.6139,4.1823,4.3053,10.8495,3.0695,3.3377,10.8495,4.4108

84.1220,1.7733,2.0820,4.8608,4.6145,4.2435,10.4790,3.1313,3.4509,10.4790,4.4549

