Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
151.1220,0.0017,0.0546,0.0001

152.1220,0.0017,0.0631,0.0001

153.1220,0.0017,0.0529,0.0001

154.1220,0.0017,0.0665,0.0001

155.1220,0.0017,0.0447,0.0001

156.1220,0.0017,0.0427,0.0001

157.1220,0.0017,0.0487,0.0001

158.1220,0.0017,0.0477,0.0001

159.1220,0.0017,0.0621,0.0001

160.1230,0.0017,0.0548,0.0001

161.1220,0.0017,0.0509,0.0001

162.1220,0.0017,0.0545,0.0001

163.1220,0.0017,0.0564,0.0001

164.1230,0.0017,0.0512,0.0001

165.1230,0.0017,0.0551,0.0001

166.1220,0.0017,0.0465,0.0001

167.1220,0.0017,0.0581,0.0001

168.1220,0.0017,0.0530,0.0001

169.1220,0.0017,0.0552,0.0001

170.1220,0.0017,0.0511,0.0001

171.1220,0.0017,0.0518,0.0001

172.1220,0.0017,0.0518,0.0001

173.1220,0.0017,0.0537,0.0001

174.1220,0.0017,0.0659,0.0001

175.1230,0.0017,0.0562,0.0001

176.1220,0.0017,0.0487,0.0001

177.1220,0.0017,0.0530,0.0001

178.1220,0.0017,0.0431,0.0001

179.1220,0.0017,0.0596,0.0001

180.1220,0.0017,0.0503,0.0001

181.1220,0.0017,0.0467,0.0001

182.1220,0.0017,0.0551,0.0001

183.1230,0.0017,0.0586,0.0001

184.1220,0.0017,0.0541,0.0001

185.1220,0.0017,0.0620,0.0001

186.1220,0.0017,0.0652,0.0001

187.1220,0.0017,0.0465,0.0001

188.1220,0.0017,0.0477,0.0001

189.1220,0.0017,0.0534,0.0001

190.1220,0.0017,0.0516,0.0001

191.1220,0.0017,0.0479,0.0001

192.1230,0.0017,0.0543,0.0001

193.1220,0.0017,0.0599,0.0001

194.1220,0.0017,0.0511,0.0001

195.1230,0.0017,0.0688,0.0001

196.1220,0.0017,0.0574,0.0001

197.1220,0.0017,0.0669,0.0001

198.1220,0.0017,0.0676,0.0001

199.1220,0.0017,0.0528,0.0001

200.1220,0.0017,0.0625,0.0001

201.1220,0.0017,0.0541,0.0001

202.1220,0.0017,0.0563,0.0001

203.1220,0.0017,0.0462,0.0001

204.1220,0.0017,0.0514,0.0001

205.1220,0.0017,0.0620,0.0001

206.1220,0.0017,0.0575,0.0001

207.1230,0.0017,0.0496,0.0001

208.1220,0.0017,0.0513,0.0001

209.1220,0.0017,0.0488,0.0001

