Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.9380,2.2672,2.0203,4.4904,3.8737,4.4287,5.9723,3.2547,3.3892,5.9723,3.7582

2.6940,1.9585,2.0203,4.1817,4.7997,4.1200,6.1575,3.2547,3.3892,6.1575,3.7846

3.6940,1.8351,1.7733,4.6756,4.1823,5.1697,6.4045,3.3165,3.4921,6.4045,3.9081

4.6940,2.0203,2.4524,4.2434,4.6145,4.3053,6.7132,3.1313,3.4612,6.7132,3.9258

5.6950,1.8968,2.4524,4.4286,4.5527,4.4287,6.4662,2.7608,3.4200,6.4662,3.8552

6.6940,2.3289,2.0820,4.3052,4.3675,4.3053,6.5279,2.6991,3.3480,6.5279,3.8023

7.6940,1.9585,2.2055,4.6756,4.2441,3.8731,6.1575,3.3165,3.3789,6.1575,3.7758

8.6950,1.6499,2.1438,4.3669,4.4293,4.7375,7.0836,3.4400,3.4612,7.0836,3.9787

9.6940,0.7857,2.3907,3.8112,4.4910,4.3053,6.7132,3.2547,3.1731,6.7132,3.6788

10.6940,1.8351,1.8351,6.4661,4.2441,4.3670,6.7749,3.0695,3.6361,6.7749,4.0845

11.6940,2.2054,1.4647,4.4904,4.4293,4.2435,6.7749,2.5756,3.2348,6.7749,3.7405

12.6950,2.0820,2.0203,4.8608,4.0589,4.2435,6.9601,3.0695,3.3892,6.9601,3.8993

13.6940,2.2054,2.0203,4.1817,4.3058,4.4287,6.8984,2.6373,3.2965,6.8984,3.8111

14.6940,2.6993,1.4029,4.6139,4.5527,4.4287,6.9601,2.6373,3.3891,6.9601,3.8993

15.6940,1.9585,2.0203,4.4286,4.5527,3.1939,6.7132,3.0695,3.2039,6.7132,3.7052

16.6940,1.8351,2.6994,4.6756,4.2441,4.1200,6.7749,3.0695,3.4406,6.7749,3.9169

17.6940,2.1437,2.2672,4.1817,4.6762,4.6140,7.1453,2.8843,3.4612,7.1453,3.9875

18.6940,1.7733,1.8968,4.1817,4.3675,4.0583,7.1453,2.8225,3.1834,7.1453,3.7494

19.6940,2.0820,1.4647,5.7252,4.9231,4.2435,7.2070,3.3165,3.6258,7.2070,4.1374

20.6940,2.3906,2.2672,4.4904,4.3675,4.1818,6.7132,3.1930,3.4818,6.7132,3.9434

21.6940,1.8351,2.4524,4.4904,4.1823,3.9348,6.7749,3.2547,3.3583,6.7749,3.8464

22.6940,0.7857,1.8968,4.7373,4.3058,4.1818,7.1453,2.8225,3.1217,7.1453,3.6965

23.6940,2.3289,2.5759,4.6139,4.3675,3.7496,7.6392,2.7608,3.3994,7.6392,4.0051

24.6940,2.0820,2.4524,4.1199,4.3675,4.1818,7.7009,2.8843,3.3480,7.7009,3.9698

25.6940,1.9585,2.2055,4.2434,4.6145,4.3670,7.3922,2.8225,3.3686,7.3922,3.9434

