Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.8830,2.2054,2.6376,4.7373,4.5527,4.2435,10.7877,3.4400,3.6361,10.7877,4.6578

2.7770,1.2795,1.5881,4.5521,4.3675,4.3053,10.9729,2.5756,3.1114,10.9729,4.2344

3.7770,2.2672,3.5019,4.8608,4.5527,4.5522,11.0347,3.0695,3.8007,11.0347,4.8342

4.7770,1.9585,2.0820,4.5521,3.9971,4.3670,11.1581,3.0078,3.3274,11.1581,4.4461

5.7770,1.8968,2.5759,4.1199,4.4910,4.1818,11.5285,2.8843,3.3583,11.5285,4.5255

6.7770,1.8351,2.2672,5.7869,4.8614,4.3053,10.8495,3.1313,3.6979,10.8495,4.7195

7.7770,2.0820,2.2055,4.4904,4.6145,4.1818,11.0964,3.1313,3.4509,11.0964,4.5431

8.7770,2.1437,1.9585,4.7991,5.7257,4.7992,10.8495,3.1930,3.7699,10.8495,4.7812

9.7780,2.2672,1.8351,4.6756,5.9109,4.7375,10.7260,3.0695,3.7493,10.7260,4.7460

10.7770,2.0820,3.0081,4.7991,4.4293,4.2435,10.7260,3.4400,3.6670,10.7260,4.6754

11.7770,2.2054,2.3907,4.2434,4.7997,5.6636,10.9729,3.1313,3.7390,10.9729,4.7724

12.7770,2.0203,2.0203,5.2930,4.5527,4.1200,10.6025,3.1313,3.5229,10.6025,4.5343

13.7780,2.0203,2.2672,4.6139,3.6885,4.9227,10.4173,3.4400,3.4921,10.4173,4.4814

14.7770,1.7733,2.3907,4.7991,4.7379,4.2435,11.2199,3.1313,3.5126,11.2199,4.6137

15.7780,1.9585,2.3907,4.4904,4.8614,4.9227,10.6642,3.3782,3.6670,10.6642,4.6666

16.7770,2.2054,1.7116,4.6756,4.7997,4.4287,10.4790,2.6373,3.4097,10.4790,4.4196

17.7770,1.8351,2.4524,4.6756,4.9231,4.8610,10.4790,2.9460,3.6155,10.4790,4.5960

18.7770,2.5141,2.0820,4.3669,4.7997,4.3053,10.4790,2.8843,3.4920,10.4790,4.4902

19.7770,2.3289,2.2672,4.5521,4.4910,4.6757,10.1086,3.2547,3.5950,10.1086,4.5255

20.7770,2.0203,2.5142,4.6756,4.3058,4.2435,10.1704,3.3165,3.5126,10.1704,4.4637

21.7770,1.8968,2.4524,4.6756,4.7379,4.3053,10.1704,3.6869,3.6258,10.1704,4.5608

22.7770,2.0820,2.2672,3.9965,4.5527,5.2314,10.4173,3.3165,3.5744,10.4173,4.5519

23.7770,1.8968,2.4524,4.8608,5.3553,4.2435,10.4790,3.1313,3.6567,10.4790,4.6313

