Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.8830,29.1057,28.1533,27.1152,26.4507,25.4464,29.2657,25.9071,29.5413,27.2542,29.4035,27.6232

2.7770,29.1051,28.1501,27.1309,26.4339,25.4420,29.2862,25.8964,29.5299,27.2524,29.4081,27.6218

3.7770,29.0983,28.1445,27.1323,26.4598,25.4540,29.2827,25.8964,29.5353,27.2578,29.4090,27.6254

4.7770,29.1035,28.1422,27.1319,26.4481,25.4635,29.2733,25.9036,29.5471,27.2578,29.4102,27.6267

5.7770,29.1083,28.1477,27.1303,26.4347,25.4457,29.2894,25.9020,29.5345,27.2533,29.4120,27.6241

6.7770,29.1080,28.1460,27.1154,26.4330,25.4454,29.2722,25.9012,29.5271,27.2495,29.3997,27.6185

7.7770,29.0987,28.1344,27.1052,26.4714,25.4526,29.2831,25.8900,29.5339,27.2524,29.4085,27.6212

8.7770,29.1092,28.1149,27.1065,26.4316,25.4542,29.2603,25.8649,29.5313,27.2433,29.3958,27.6091

9.7780,29.0958,28.1382,27.1218,26.4281,25.4742,29.2238,25.8986,29.5305,27.2516,29.3771,27.6139

10.7770,29.1144,28.1405,27.1113,26.4488,25.4513,29.1464,25.9033,29.5335,27.2533,29.3399,27.6062

11.7770,29.1205,28.1354,27.1129,26.4333,25.4339,29.0396,25.8770,29.5176,27.2472,29.2786,27.5838

12.7770,29.1143,28.1216,27.1070,26.4378,25.4409,28.8753,25.8858,29.5199,27.2443,29.1976,27.5628

13.7780,29.1108,28.1484,27.1230,26.4321,25.4444,28.8157,25.8918,29.5013,27.2517,29.1585,27.5584

14.7770,29.0982,28.1516,27.1088,26.4245,25.4497,28.7612,25.8946,29.5277,27.2465,29.1444,27.5520

15.7780,29.1030,28.1482,27.1299,26.4556,25.4678,28.7566,25.8851,29.4935,27.2609,29.1251,27.5550

16.7770,29.1076,28.1279,27.1237,26.4423,25.4370,28.7650,25.8878,29.4657,27.2477,29.1153,27.5446

