Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.8850,0.1067,-0.3257,2.0825,1.4660,1.6503,10.1086,0.2294,0.8682,10.1086,2.1883

2.3160,0.1067,0.2917,1.7121,1.7129,1.6503,10.0469,-0.0175,0.9094,10.0469,2.2147

3.3160,-0.3254,0.2917,2.3295,1.8364,1.5268,9.9234,0.1677,0.9711,9.9234,2.2500

4.3160,-0.0168,0.2917,1.6503,1.0956,1.2799,9.9234,0.4147,0.7859,9.9234,2.0913

5.3170,0.1684,0.6003,1.5886,1.0956,1.7121,10.2321,0.1060,0.8785,10.2321,2.2147

6.3160,-0.2019,-0.0788,1.6503,1.6512,1.7738,9.9851,0.6616,0.9094,9.9851,2.2059

7.3160,1.2795,0.2299,1.7121,1.7129,1.4033,9.7999,0.6616,1.1666,9.7999,2.3999

8.3160,0.0450,0.3534,1.5268,1.6512,1.4651,10.2938,0.3529,0.8991,10.2938,2.2412

9.3160,-0.1402,0.1065,1.0947,1.5895,1.8355,9.8617,0.4147,0.8168,9.8617,2.1089

10.3160,0.4153,-0.0170,1.6503,1.4660,1.6503,9.9851,0.5381,0.9505,9.9851,2.2412

11.3170,-0.2637,0.1065,1.5886,1.9599,1.3416,9.9851,-0.0175,0.7859,9.9851,2.1001

12.3160,0.0450,0.1065,1.7121,1.6512,1.7738,10.2938,0.6616,0.9917,10.2938,2.3206

13.3170,-0.0785,-0.0788,1.9590,1.7747,1.7121,10.2321,0.4764,0.9608,10.2321,2.2853

14.3160,0.2302,0.0447,1.6503,1.2808,2.2060,10.0469,0.3529,0.9608,10.0469,2.2588

15.3160,0.2302,0.2917,1.7738,1.5277,2.0825,9.6147,0.2294,1.0226,9.6147,2.2500

16.3160,-0.2637,0.1682,1.4651,1.6512,1.6503,9.9234,0.0442,0.7859,9.9234,2.0913

17.3160,-0.0785,0.0447,2.0208,2.0216,1.4033,10.1704,0.8468,1.0431,10.1704,2.3470

18.3160,0.1684,-0.2022,1.7121,1.5277,1.6503,9.6147,0.2912,0.8579,9.6147,2.1089

19.3160,0.1067,-0.4492,1.8355,1.7747,1.4651,10.2321,0.2912,0.8373,10.2321,2.1794

