Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
127.7580,5.0400,284.5366,1434.0729

128.7580,5.0483,284.5020,1436.2431

129.7580,5.0499,284.4935,1436.6557

130.7580,5.0506,284.4904,1436.8379

131.7580,5.0511,284.4875,1436.9762

132.7580,5.0523,284.4817,1437.2996

133.7590,5.0540,284.4753,1437.7275

134.7580,5.0537,284.4757,1437.6626

135.7580,5.0411,284.5231,1434.3105

136.7580,5.0423,284.5203,1434.6324

137.7580,5.0452,284.5081,1435.4052

138.7580,5.0374,284.5367,1433.3332

139.7580,5.0328,284.5566,1432.1140

140.7590,5.0351,284.5479,1432.7348

141.7580,5.0382,284.5348,1433.5567

142.7580,5.0402,284.5266,1434.0701

143.7580,5.0426,284.5172,1434.7168

144.7580,5.0448,284.5071,1435.2769

145.7580,5.0399,284.5258,1433.9948

146.7580,5.0420,284.5178,1434.5307

147.7580,5.0454,284.5035,1435.4203

148.7580,5.0468,284.4966,1435.7952

149.7580,5.0472,284.4946,1435.9001

150.7580,5.0491,284.4865,1436.3896

151.7580,5.0507,284.4791,1436.8223

152.7580,5.0541,284.4665,1437.7141

153.7580,5.0550,284.4596,1437.9489

154.7580,5.0516,284.4742,1437.0464

155.7590,5.0520,284.4720,1437.1428

156.7580,5.0535,284.4655,1437.5368

157.7590,5.0556,284.4566,1438.1090

158.7580,5.0573,284.4482,1438.5526

159.7580,5.0566,284.4496,1438.3393

160.7590,5.0514,284.4714,1436.9691

161.7580,5.0424,284.5060,1434.5885

162.7580,5.0551,284.4591,1437.9639

163.7580,5.0365,284.5250,1432.9981

164.7580,5.0336,284.5432,1432.2867

165.7580,5.0377,284.5271,1433.3722

166.7580,5.0392,284.5199,1433.7453

167.7580,5.0398,284.5179,1433.9259

168.7580,5.0406,284.5137,1434.1220

169.7580,5.0408,284.5123,1434.1802

170.7580,5.0404,284.5131,1434.0722

171.7590,5.0396,284.5153,1433.8524

172.7580,5.0392,284.5166,1433.7386

173.7580,5.0386,284.5185,1433.5684

174.7580,5.0383,284.5190,1433.5005

175.7580,5.0379,284.5215,1433.3888

176.7580,5.0379,284.5203,1433.3874

177.7580,5.0377,284.5204,1433.3338

178.7580,5.0374,284.5210,1433.2587

179.7580,5.0375,284.5196,1433.2611

180.7580,5.0376,284.5194,1433.2884

181.7580,5.0375,284.5195,1433.2651

182.7580,5.0375,284.5194,1433.2795

183.7580,5.0373,284.5189,1433.2043

184.7580,5.0372,284.5193,1433.1783

185.7580,5.0371,284.5191,1433.1429

186.7580,5.0371,284.5195,1433.1394

187.7580,5.0368,284.5198,1433.0584

188.7580,5.0365,284.5205,1432.9865

189.7580,5.0359,284.5225,1432.8137

190.7580,5.0356,284.5235,1432.7472

191.7580,5.0356,284.5228,1432.7322

192.7580,5.0354,284.5231,1432.6769

193.7580,5.0354,284.5236,1432.6970

194.7580,5.0353,284.5238,1432.6734

195.7580,5.0355,284.5233,1432.7315

196.7580,5.0356,284.5219,1432.7483

197.7580,5.0354,284.5225,1432.6791

198.7580,5.0352,284.5233,1432.6313

199.7580,5.0349,284.5234,1432.5413

200.7580,5.0349,284.5242,1432.5417

201.7580,5.0346,284.5251,1432.4693

202.7580,5.0343,284.5252,1432.3880

203.7580,5.0342,284.5265,1432.3540

204.7580,5.0345,284.5241,1432.4248

205.7580,5.0345,284.5248,1432.4369

206.7580,5.0343,284.5246,1432.3904

207.7580,5.0343,284.5253,1432.3768

208.7580,5.0340,284.5253,1432.3112

209.7580,5.0339,284.5260,1432.2739

210.7580,5.0337,284.5264,1432.2159

211.7580,5.0337,284.5258,1432.2113

212.7580,5.0335,284.5258,1432.1717

213.7590,5.0333,284.5256,1432.1005

214.7580,5.0329,284.5268,1431.9985

215.7580,5.0323,284.5290,1431.8330

216.7580,5.0322,284.5303,1431.8143

217.7590,5.0321,284.5301,1431.7968

218.7580,5.0320,284.5308,1431.7556

219.7580,5.0313,284.5318,1431.5780

220.7580,5.0313,284.5322,1431.5635

221.7580,5.0312,284.5320,1431.5467

222.7580,5.0312,284.5327,1431.5319

223.7580,5.0312,284.5326,1431.5293

224.7580,5.0310,284.5330,1431.4881

225.7580,5.0309,284.5330,1431.4684

226.7580,5.0308,284.5329,1431.4334

227.7580,5.0308,284.5323,1431.4132

228.7580,5.0305,284.5345,1431.3430

229.7580,5.0300,284.5354,1431.2008

230.7580,5.0297,284.5358,1431.1393

231.7580,5.0295,284.5379,1431.0862

232.7580,5.0291,284.5383,1430.9713

233.7580,5.0293,284.5376,1431.0188

234.7580,5.0292,284.5376,1430.9937

235.7580,5.0289,284.5384,1430.9224

236.7590,5.0286,284.5391,1430.8468

237.7580,5.0285,284.5391,1430.8043

238.7580,5.0286,284.5400,1430.8285

239.7580,5.0286,284.5408,1430.8287

240.7580,5.0286,284.5413,1430.8335

241.7580,5.0282,284.5414,1430.7373

242.7590,5.0281,284.5413,1430.6960

243.7580,5.0279,284.5416,1430.6515

244.7580,5.0278,284.5425,1430.6129

245.7580,5.0277,284.5420,1430.6056

246.7580,5.0276,284.5424,1430.5797

247.7580,5.0280,284.5434,1430.6814

248.7590,5.0273,284.5434,1430.4828

249.7580,5.0274,284.5428,1430.5015

250.7580,5.0273,284.5446,1430.5045

251.7580,5.0273,284.5435,1430.4814

252.7580,5.0273,284.5431,1430.4726

253.7580,5.0272,284.5423,1430.4496

254.7580,5.0271,284.5422,1430.4230

255.7580,5.0272,284.5424,1430.4403

256.7580,5.0271,284.5438,1430.4401

257.7580,5.0270,284.5443,1430.3919

258.7590,5.0268,284.5445,1430.3548

259.7580,5.0266,284.5453,1430.2945

260.7580,5.0267,284.5445,1430.3071

261.7580,5.0269,284.5441,1430.3692

262.7580,5.0267,284.5449,1430.3288

263.7580,5.0261,284.5461,1430.1669

264.7580,5.0260,284.5469,1430.1336

265.7580,5.0258,284.5471,1430.0785

266.7580,5.0256,284.5481,1430.0341

267.7580,5.0177,284.5800,1427.9273

268.7590,5.0147,284.5898,1427.1342

269.7580,5.0133,284.5969,1426.7574

270.7580,5.0126,284.5988,1426.5877

271.7580,5.0133,284.5978,1426.7872

272.7580,5.0132,284.5980,1426.7450

273.7580,5.0135,284.5976,1426.8390

274.7580,5.0133,284.5974,1426.7728

275.7580,5.0137,284.5954,1426.8864

276.7580,5.0142,284.5948,1427.0096

277.7580,5.0146,284.5929,1427.1095

278.7580,5.0151,284.5911,1427.2410

279.7580,5.0156,284.5896,1427.3801

280.7580,5.0158,284.5875,1427.4358

281.7580,5.0165,284.5851,1427.6290

282.7580,5.0170,284.5838,1427.7531

283.7580,5.0175,284.5813,1427.8884

284.7580,5.0176,284.5800,1427.9157

285.7580,5.0178,284.5796,1427.9757

286.7580,5.0180,284.5790,1428.0042

287.7580,5.0181,284.5791,1428.0508

288.7580,5.0185,284.5775,1428.1427

289.7580,5.0186,284.5774,1428.1917

290.7580,5.0188,284.5772,1428.2450

291.7580,5.0193,284.5752,1428.3563

292.7580,5.0192,284.5754,1428.3498

293.7580,5.0194,284.5740,1428.3830

294.7580,5.0197,284.5745,1428.4853

295.7580,5.0196,284.5733,1428.4369

296.7580,5.0198,284.5726,1428.4998

297.7580,5.0200,284.5725,1428.5418

298.7580,5.0202,284.5721,1428.6230

299.7580,5.0198,284.5714,1428.4838

300.7580,5.0200,284.5720,1428.5379

301.7580,5.0203,284.5715,1428.6238

302.7580,5.0203,284.5716,1428.6463

303.7580,5.0201,284.5704,1428.5627

304.7590,5.0204,284.5709,1428.6502

305.7580,5.0199,284.5719,1428.5348

306.7580,5.0200,284.5714,1428.5431

307.7580,5.0199,284.5731,1428.5192

308.7580,5.0195,284.5737,1428.4181

309.7580,5.0192,284.5759,1428.3312

310.7580,5.0191,284.5771,1428.3215

311.7580,5.0195,284.5752,1428.4230

312.7580,5.0195,284.5745,1428.4163

313.7580,5.0194,284.5753,1428.3959

314.7580,5.0191,284.5754,1428.3215

315.7590,5.0194,284.5758,1428.3868

316.7580,5.0192,284.5762,1428.3354

317.7580,5.0189,284.5775,1428.2607

318.7580,5.0192,284.5770,1428.3411

319.7580,5.0189,284.5778,1428.2647

320.7580,5.0187,284.5786,1428.2079

321.7590,5.0186,284.5792,1428.1919

322.7580,5.0184,284.5801,1428.1260

323.7580,5.0183,284.5809,1428.1049

324.7590,5.0183,284.5816,1428.1030

325.7580,5.0182,284.5816,1428.0765

326.7580,5.0183,284.5819,1428.1291

327.7580,5.0180,284.5836,1428.0292

328.7580,5.0178,284.5829,1427.9781

329.7580,5.0178,284.5824,1427.9638

330.7580,5.0178,284.5831,1427.9803

331.7590,5.0179,284.5841,1428.0160

332.7580,5.0178,284.5844,1427.9818

333.7580,5.0178,284.5839,1427.9947

334.7580,5.0174,284.5860,1427.8941

335.7590,5.0172,284.5865,1427.8137

336.7580,5.0167,284.5893,1427.6936

337.7580,5.0168,284.5893,1427.7224

338.7580,5.0168,284.5891,1427.7306

339.7580,5.0169,284.5894,1427.7650

340.7580,5.0171,284.5890,1427.7989

341.7580,5.0170,284.5896,1427.7720

342.7580,5.0171,284.5908,1427.8190

343.7580,5.0167,284.5920,1427.7172

344.7590,5.0168,284.5918,1427.7386

345.7580,5.0167,284.5915,1427.7201

346.7580,5.0168,284.5911,1427.7335

347.7580,5.0170,284.5914,1427.7834

348.7580,5.0164,284.5928,1427.6283

349.7580,5.0166,284.5932,1427.6968

350.7580,5.0161,284.5956,1427.5684

351.7580,5.0163,284.5957,1427.6118

352.7580,5.0161,284.5959,1427.5566

353.7580,5.0163,284.5958,1427.6318

354.7580,5.0159,284.5966,1427.5195

355.7580,5.0160,284.5969,1427.5295

356.7580,5.0161,284.5965,1427.5622

357.7580,5.0158,284.5971,1427.4809

358.7580,5.0154,284.5994,1427.3832

359.7580,5.0156,284.5994,1427.4387

360.7580,5.0155,284.5999,1427.4212

361.7580,5.0154,284.6017,1427.3777

362.7580,5.0151,284.6026,1427.3101

363.7580,5.0152,284.6019,1427.3295

364.7580,5.0150,284.6037,1427.2901

365.7580,5.0150,284.6037,1427.2936

366.7580,5.0148,284.6058,1427.2365

367.7580,5.0147,284.6059,1427.2121

368.7580,5.0148,284.6068,1427.2339

369.7580,5.0139,284.6082,1426.9848

370.7580,5.0149,284.6070,1427.2831

371.7580,5.0146,284.6066,1427.1899

372.7580,5.0145,284.6083,1427.1800

373.7580,5.0141,284.6084,1427.0462

374.7590,5.0143,284.6105,1427.1096

375.7580,5.0141,284.6096,1427.0584

376.7580,5.0141,284.6115,1427.0778

377.7580,5.0139,284.6128,1427.0161

378.7580,5.0139,284.6121,1427.0162

379.7580,5.0139,284.6127,1427.0311

380.7580,5.0140,284.6127,1427.0493

381.7580,5.0140,284.6128,1427.0553

382.7580,5.0139,284.6138,1427.0385

383.7580,5.0137,284.6154,1426.9790

384.7580,5.0132,284.6182,1426.8621

385.7580,5.0137,284.6173,1426.9960

386.7580,5.0132,284.6172,1426.8551

387.7580,5.0136,284.6182,1426.9678

388.7580,5.0134,284.6183,1426.9164

389.7580,5.0131,284.6199,1426.8358

390.7580,5.0132,284.6201,1426.8452

391.7580,5.0131,284.6198,1426.8414

392.7580,5.0129,284.6203,1426.7808

393.7580,5.0131,284.6210,1426.8345

394.7580,5.0130,284.6215,1426.7984

395.7580,5.0125,284.6219,1426.6737

396.7580,5.0129,284.6240,1426.7840

397.7580,5.0115,284.6264,1426.4171

398.7580,5.0116,284.6293,1426.4522

399.7580,5.0115,284.6285,1426.4026

400.7580,5.0114,284.6292,1426.4004

401.7580,5.0115,284.6312,1426.4405

402.7580,5.0111,284.6321,1426.3326

403.7580,5.0108,284.6339,1426.2543

404.7580,5.0111,284.6354,1426.3338

405.7580,5.0104,284.6343,1426.1457

406.7580,5.0112,284.6360,1426.3575

407.7590,5.0100,284.6370,1426.0444

408.7580,5.0105,284.6388,1426.1713

409.7580,5.0104,284.6393,1426.1591

410.7590,5.0104,284.6391,1426.1456

411.7580,5.0107,284.6395,1426.2479

412.7580,5.0103,284.6399,1426.1368

413.7580,5.0107,284.6413,1426.2419

414.7580,5.0102,284.6412,1426.1022

415.7590,5.0104,284.6427,1426.1828

416.7580,5.0097,284.6438,1425.9811

417.7580,5.0097,284.6463,1425.9836

