Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.8810,0.0173,0.0656,0.0000,0.0004

2.7820,0.0153,0.0553,0.0000,0.0000

3.7810,0.0120,0.0347,0.0000,0.0007

4.7810,0.0089,0.0193,0.0000,0.0007

5.7810,0.0086,0.0399,0.0000,0.0007

6.7810,0.0084,0.0399,0.0000,0.0007

7.7810,0.0082,0.0399,0.0000,0.0007

8.7810,0.0081,0.0399,0.0000,0.0007

9.7820,0.0074,0.0244,0.0000,0.0007

10.7810,0.0070,0.0296,0.0000,0.0007

11.7810,0.0032,-0.0322,0.0000,0.0007

12.7810,0.0030,0.0501,0.0000,0.0007

13.7810,0.0024,0.0193,0.0000,0.0007

