Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.8810,0.1067,0.1682,1.4651,1.6512,1.4651,1.5274,0.0442,0.8167,1.5274,0.9183

2.7820,0.1684,-0.0788,1.7121,1.7747,1.3416,1.4039,0.2294,0.8579,1.4039,0.9359

3.7810,-0.0785,0.1065,1.7121,1.7129,1.3416,1.5891,0.1060,0.8168,1.5891,0.9271

4.7810,-0.2019,0.1682,1.8355,0.7869,1.9590,1.3421,0.1677,0.7859,1.3421,0.8654

5.7810,-0.0785,0.6003,1.7738,1.5895,1.5268,1.3421,0.4764,0.9814,1.3421,1.0329

6.7810,0.1067,-0.2022,1.9590,1.6512,1.4033,1.2187,0.2294,0.8579,1.2187,0.9095

7.7810,0.9092,0.2299,1.8973,1.2191,1.7121,0.8483,-0.0175,0.9917,0.8483,0.9712

8.7810,0.3536,0.1065,2.2060,1.5895,1.3416,1.5891,-0.0793,0.9196,1.5891,1.0153

9.7820,-0.1402,-0.1405,1.8355,1.7129,1.7121,1.6508,0.4147,0.8991,1.6508,1.0065

10.7810,0.1684,1.0942,1.9590,1.5895,1.8355,1.2804,0.2294,1.1460,1.2804,1.1652

11.7810,-0.0785,0.3534,1.5268,1.5277,1.7121,1.4656,0.5381,0.9299,1.4656,1.0065

12.7810,0.1067,-0.3257,1.8355,1.5895,2.0208,1.4656,0.3529,0.9300,1.4656,1.0065

13.7810,-0.0785,0.1682,1.9590,1.8981,1.8355,1.3421,0.1060,0.9814,1.3421,1.0329

