Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.8760,0.2302,1.4647,4.7991,6.2196,-0.0785,6.2810,4.6748,2.8850,6.2810,3.3701

2.3220,-0.2019,1.5264,4.4904,6.0961,-0.0167,6.2810,4.9217,2.8027,6.2810,3.2996

3.3220,-0.0168,1.3412,4.3052,6.2196,-0.2020,5.7254,4.6748,2.7203,5.7254,3.1496

4.3220,-0.0168,1.7116,4.6756,5.9109,-0.9429,7.6392,4.3661,2.6174,7.6392,3.3348

5.3220,0.2919,1.5264,4.7373,6.4665,0.1685,6.1575,4.9217,3.0187,6.1575,3.4671

6.3220,0.4771,1.0942,4.7991,5.8492,-0.3255,5.2932,4.6130,2.7512,5.2932,3.1143

7.3220,-0.0785,1.0942,4.6756,5.7874,-0.2020,5.8489,5.5391,2.8027,5.8489,3.2378

8.3220,-0.1402,0.9708,4.4286,6.3430,-0.4489,5.6636,4.7983,2.6586,5.6636,3.0879

9.3220,0.2919,1.0325,4.4286,5.9109,0.1067,5.4167,4.9217,2.7821,5.4167,3.1584

10.3220,0.1684,1.2794,4.6139,5.6022,0.2920,5.7254,4.3661,2.7203,5.7254,3.1496

11.3230,-0.0785,1.8968,5.2930,6.1578,-0.0167,5.7871,4.1191,2.8953,5.7871,3.3084

12.3220,0.2919,0.7856,4.9843,6.2813,0.1067,5.7871,4.0574,2.7512,5.7871,3.1849

13.3220,0.3536,1.4029,4.6139,6.0961,0.3537,5.6636,5.0452,2.9776,5.6636,3.3613

14.3220,0.0450,1.5264,4.8608,6.4665,-0.3255,5.4784,4.9217,2.9158,5.4784,3.2819

15.3230,0.4771,1.0942,4.6139,5.6640,-0.0785,5.7254,5.0452,2.8026,5.7254,3.2202

16.3220,0.1684,1.4647,5.6017,5.5405,0.4772,5.3550,4.6748,2.9879,5.3550,3.3260

17.3220,-0.0168,1.3412,3.8730,6.2813,-0.2637,5.7254,4.4895,2.6174,5.7254,3.0614

18.3230,-0.1402,1.1560,4.7373,6.0344,-0.3255,5.9106,4.7983,2.7100,5.9106,3.1673

19.3220,0.4153,1.0942,4.5521,6.4665,-0.3255,5.4784,4.6130,2.8026,5.4784,3.1849

20.3230,-0.2019,1.4029,4.6139,6.2813,-0.0785,5.9106,4.6130,2.7718,5.9106,3.2202

21.3220,-0.2019,1.3412,4.9843,6.1578,-0.0167,5.7254,4.6130,2.8129,5.7254,3.2290

22.3220,0.1067,0.1682,5.2930,6.0344,0.0450,5.4167,4.6748,2.7203,5.4167,3.1055

23.3220,0.1684,1.4647,4.3669,5.9109,0.1067,5.8489,4.6748,2.7821,5.8489,3.2202

24.3230,-0.0168,1.0942,4.3669,5.9109,0.2302,5.8489,4.3661,2.6586,5.8489,3.1143

25.3220,0.7240,1.5881,4.9226,6.4048,-0.1402,5.4167,4.7365,3.0393,5.4167,3.3789

26.3220,0.4153,0.9090,4.7373,5.7874,-0.2637,5.7871,4.3661,2.6586,5.7871,3.1055

27.3220,-0.3871,1.2177,4.6139,5.6022,0.1067,5.9106,4.6130,2.6277,5.9106,3.0967

28.3220,-0.0168,1.3412,4.8608,6.5283,-0.0785,4.7376,4.9217,2.9261,4.7376,3.1849

29.3220,0.0450,1.0942,4.6139,5.7257,-0.3255,5.8489,4.4895,2.6071,5.8489,3.0702

30.3220,-0.2019,1.4647,4.7991,5.5405,0.2920,6.5279,4.6748,2.7615,6.5279,3.2996

31.3220,0.3536,0.7238,5.1695,5.3553,-0.0785,5.6636,4.5513,2.6792,5.6636,3.1055

32.3220,0.0450,1.2177,4.5521,6.2196,-0.0167,6.2193,4.7983,2.8026,6.2193,3.2907

33.3220,0.2919,1.2177,4.6139,6.1578,0.0450,5.6019,4.3043,2.7718,5.6019,3.1761

34.3220,0.1067,1.2177,4.6756,6.0961,-0.2637,6.0958,4.1808,2.6689,6.0958,3.1584

35.3220,0.9092,1.3412,4.6756,5.9109,0.1685,5.6019,4.3043,2.8849,5.6019,3.2731

36.3220,-0.1402,1.0942,4.8608,5.7874,-0.4489,5.7254,4.7365,2.6483,5.7254,3.0879

