Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
44.2840,29.3442,28.0773,26.7553,25.6568,24.3423,29.4915,24.8861,29.8089,26.8352,29.6502,27.2953

45.2840,29.3350,28.0953,26.7662,25.6479,24.3576,29.4841,24.9154,29.8091,26.8404,29.6466,27.3013

46.2840,29.3314,28.0648,26.7536,25.6457,24.3540,29.4801,24.9047,29.8013,26.8299,29.6407,27.2919

47.2840,29.3460,28.0736,26.7534,25.6937,24.3687,29.4857,24.8927,29.8196,26.8471,29.6527,27.3042

48.2840,29.3404,28.0701,26.7514,25.6548,24.3612,29.4909,24.9020,29.8037,26.8356,29.6473,27.2968

49.2840,29.3502,28.0685,26.7516,25.6541,24.3724,29.4302,24.9008,29.8013,26.8394,29.6157,27.2911

50.2850,29.3576,28.0556,26.7364,25.6521,24.3600,29.3801,24.9054,29.7969,26.8323,29.5885,27.2805

51.2840,29.3595,28.0846,26.7499,25.6542,24.3511,29.3647,24.9194,29.8106,26.8399,29.5876,27.2867

52.2840,29.3448,28.0487,26.7865,25.6447,24.3603,29.3231,24.9179,29.8043,26.8370,29.5637,27.2788

53.2840,29.3443,28.0578,26.7390,25.6608,24.3584,29.3052,24.8896,29.8052,26.8321,29.5552,27.2701

54.2840,29.3375,28.0694,26.7568,25.6460,24.3602,29.2858,24.9206,29.8088,26.8340,29.5473,27.2731

55.2840,29.3416,28.0775,26.7663,25.6537,24.3520,29.2932,24.8796,29.7946,26.8382,29.5439,27.2698

56.2840,29.3435,28.0927,26.7415,25.6548,24.3496,29.3025,24.9039,29.8040,26.8364,29.5532,27.2741

57.2840,29.3320,28.0738,26.7706,25.6481,24.3688,29.2784,24.8811,29.7901,26.8387,29.5342,27.2679

58.2840,29.3330,28.0785,26.7711,25.6358,24.3453,29.2832,24.8944,29.7818,26.8328,29.5325,27.2654

