Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.8960,1.4691,3.8266,22.4628,0.1217

2.3270,1.4661,3.8112,Inf,0.0000

3.3270,1.4631,3.7958,0.0000,0.1267

4.3270,1.4671,3.8524,22.4111,0.1228

5.3270,1.4651,3.7958,22.3923,0.1243

6.3270,1.4625,3.7752,22.7546,0.1225

7.3270,1.4662,3.8781,22.4413,0.1207

8.3270,1.4646,3.7855,22.4541,0.1237

9.3270,1.4638,3.7958,22.3585,0.1168

10.3270,1.4643,3.8266,22.7038,0.1120

11.3280,1.4631,3.7958,22.5924,0.1269

12.3270,1.4639,3.8318,22.4143,0.1143

13.3270,1.4637,3.7906,22.6187,0.1225

14.3270,1.4623,3.8164,21.9159,0.1200

15.3280,1.4641,3.8421,22.2570,0.1217

16.3270,1.4657,3.8164,22.5337,0.1259

17.3270,1.4639,3.8318,22.5399,0.1156

18.3270,1.4653,3.8215,22.3705,0.1256

19.3270,1.4667,3.8318,22.2231,0.1160

20.3270,1.4661,3.8112,22.3616,0.1228

21.3280,1.4679,3.8421,22.3523,0.1226

22.3270,1.4679,3.8318,22.6009,0.1070

23.3270,1.4683,3.8009,22.5335,0.1079

24.3280,1.4685,3.8215,22.2399,0.1237

25.3270,1.4671,3.8061,22.2331,0.1228

26.3270,1.4663,3.7958,22.3568,0.1202

27.3270,1.4657,3.8164,21.9191,0.1108

28.3270,1.4651,3.8061,22.3150,0.1253

29.3270,1.4643,3.8112,22.3834,0.1253

30.3270,1.4649,3.8266,22.3353,0.1250

31.3270,1.4647,3.8369,22.4501,0.1200

32.3270,1.4639,3.8112,22.3625,0.1254

33.3270,1.4657,3.8472,22.0652,0.1224

34.3270,1.4659,3.8266,22.2275,0.1227

35.3270,1.4671,3.8369,22.2858,0.1241

36.3270,1.4683,3.8266,22.2350,0.1248

37.3270,1.4693,3.8421,22.3424,0.1251

