Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.8960,37.1925,37.4347,37.4492,37.3833,37.1098,37.1813,37.5430,30.5789,37.3139,33.8801,36.4841

2.3270,37.1698,37.4544,37.4512,37.3751,37.0965,37.1824,37.5221,30.5420,37.3094,33.8622,36.4742

3.3270,37.1705,37.3972,37.4271,37.3514,37.0813,37.1672,37.5214,30.5507,37.2855,33.8590,36.4583

4.3270,37.1498,37.3745,37.4160,37.3381,37.0807,37.1629,37.4889,30.5618,37.2718,33.8624,36.4466

5.3270,37.1221,37.3734,37.3832,37.3220,37.0389,37.1272,37.4761,30.5551,37.2479,33.8411,36.4248

6.3270,37.1054,37.3548,37.3772,37.3156,37.0461,37.1087,37.4515,30.5581,37.2398,33.8334,36.4147

7.3270,37.0871,37.3363,37.3633,37.2905,37.0184,37.0847,37.4549,30.5833,37.2191,33.8340,36.4023

8.3270,37.0872,37.2939,37.3317,37.2626,37.0050,37.0610,37.4101,30.5801,37.1961,33.8206,36.3789

9.3270,37.0825,37.3028,37.3066,37.2505,36.9910,37.0456,37.4205,30.5646,37.1867,33.8051,36.3705

10.3270,37.0642,37.2687,37.3042,37.2421,36.9712,37.0254,37.3845,30.5640,37.1701,33.7947,36.3530

11.3280,37.0330,37.2671,37.2806,37.2288,36.9601,37.0171,37.3862,30.5806,37.1539,33.7988,36.3442

12.3270,37.0123,37.2661,37.2652,37.1960,36.9287,37.0231,37.3674,30.5800,37.1337,33.8015,36.3299

13.3270,36.9857,37.2198,37.2605,37.1815,36.9390,36.9978,37.3469,30.5847,37.1173,33.7913,36.3145

14.3270,36.9661,37.2098,37.2569,37.1645,36.9081,36.9614,37.3307,30.5687,37.1011,33.7650,36.2958

15.3280,36.9530,37.1931,37.2128,37.1703,36.8796,36.9609,37.3141,30.5960,37.0818,33.7784,36.2850

16.3270,36.9209,37.1817,37.1995,37.1364,36.8752,36.9354,37.2934,30.5750,37.0628,33.7552,36.2647

17.3270,36.9400,37.1339,37.1880,37.1371,36.8639,36.9078,37.3043,30.5876,37.0526,33.7477,36.2578

18.3270,36.9102,37.1366,37.1567,37.1030,36.8504,36.8934,37.2814,30.6037,37.0314,33.7485,36.2419

19.3270,36.9057,37.1210,37.1695,37.0939,36.8254,36.9011,37.2545,30.5964,37.0231,33.7487,36.2334

20.3270,36.8727,37.1109,37.1497,37.0838,36.8218,36.8769,37.2422,30.5735,37.0078,33.7252,36.2164

21.3280,36.8484,37.1077,37.1311,37.0568,36.8030,36.8465,37.2394,30.5960,36.9894,33.7212,36.2036

22.3270,36.8454,37.0739,37.1024,37.0491,36.7678,36.8477,37.1981,30.5878,36.9677,33.7178,36.1840

23.3270,36.8166,37.0731,37.1072,37.0180,36.7662,36.8180,37.2020,30.5617,36.9562,33.6899,36.1704

24.3280,36.8020,37.0352,37.0749,37.0123,36.7361,36.7842,37.1912,30.5808,36.9321,33.6825,36.1521

25.3270,36.7786,37.0200,37.0574,36.9910,36.7375,36.7889,37.1414,30.5968,36.9169,33.6928,36.1389

26.3270,36.7740,36.9934,37.0443,37.0060,36.7104,36.7964,37.1616,30.5949,36.9056,33.6957,36.1351

27.3270,36.7583,36.9981,37.0107,36.9365,36.6943,36.7882,37.1523,30.6055,36.8796,33.6968,36.1180

28.3270,36.7537,36.9837,37.0061,36.9538,36.6804,36.7570,37.1065,30.5750,36.8755,33.6660,36.1020

29.3270,36.7447,36.9773,36.9965,36.9189,36.6718,36.7326,37.1114,30.5815,36.8619,33.6570,36.0918

