Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.9130,-0.1402,0.6621,4.6756,7.6395,-0.0167,6.5279,5.7244,3.0908,6.5279,3.5818

2.2670,-0.0168,0.4151,3.9347,6.9604,0.2920,6.4045,5.6009,2.8644,6.4045,3.3701

3.2050,0.0450,0.4151,5.3548,7.0221,-0.0167,6.7132,5.4774,3.0496,6.7132,3.5730

4.2050,-0.0168,0.8473,3.9347,6.8369,-0.3872,6.7132,5.2304,2.7409,6.7132,3.3084

5.2050,0.1067,0.8473,4.6756,7.4543,-0.0167,6.3427,5.3539,3.0702,6.3427,3.5377

6.2050,0.1067,0.4769,4.3669,7.4543,0.2302,6.2193,5.7244,3.0599,6.2193,3.5112

7.2050,0.2919,0.3534,5.9722,6.9604,-0.2637,6.5279,5.6626,3.1628,6.5279,3.6435

8.2050,0.4153,0.8473,4.4904,7.2691,0.0450,5.9106,5.4774,3.0907,5.9106,3.4936

9.2050,-0.3871,0.6621,4.4286,6.7135,0.0450,6.4045,5.6009,2.8438,6.4045,3.3525

10.2050,0.2919,0.2299,5.1078,7.1456,0.7859,6.7132,5.6626,3.2040,6.7132,3.7053

11.2050,0.1684,0.3534,4.9843,7.3308,1.7121,6.1575,5.8478,3.3995,6.1575,3.7935

12.2050,0.9709,0.6003,4.5521,6.8987,-0.0167,6.6514,4.8600,2.9775,6.6514,3.5024

13.2050,-0.2637,0.4769,4.6756,7.4543,0.1067,6.6514,5.9713,3.0702,6.6514,3.5818

14.2050,0.4153,0.8473,4.8608,6.8987,0.6007,5.9106,5.6009,3.2039,5.9106,3.5906

15.2050,0.4771,0.4151,5.1078,7.1456,0.1685,7.3922,5.4157,3.1216,7.3922,3.7317

16.2050,-0.2019,0.6621,4.3669,7.2691,0.2302,6.4045,5.6009,2.9879,6.4045,3.4760

17.2060,-0.3871,0.7238,4.4286,6.8987,-0.0167,6.4662,5.6626,2.8850,6.4662,3.3966

18.2050,-0.0168,1.2794,4.7991,7.2073,-0.0785,6.7132,6.7122,3.3171,6.7132,3.8023

19.2050,0.2919,0.5386,5.2930,7.1456,-0.2637,6.8366,5.6626,3.1113,6.8366,3.6435

20.2050,-0.3254,0.4769,5.4165,6.8987,-0.0785,6.6514,5.5391,2.9879,6.6514,3.5112

21.2050,0.2302,0.1682,4.4286,7.0839,0.0450,6.0958,5.4774,2.9055,6.0958,3.3613

22.2050,0.0450,1.0942,4.6756,7.0221,0.2302,6.4662,5.4157,3.0805,6.4662,3.5641

23.2050,-0.4489,0.6003,4.8608,7.0221,0.2302,6.6514,5.1070,2.8953,6.6514,3.4319

24.2060,0.0450,0.6003,4.9843,7.0839,-0.0785,6.7749,5.7244,3.0599,6.7749,3.5906

25.2050,-0.1402,0.6621,5.1078,7.0221,0.1067,6.0341,5.8478,3.1011,6.0341,3.5201

26.2050,-0.2637,0.9090,5.1695,7.0839,0.2302,6.4662,5.6009,3.1216,6.4662,3.5994

27.2060,-0.0168,0.2299,4.8608,7.5160,-0.2020,6.6514,5.7244,3.0187,6.6514,3.5377

28.2050,-0.1402,0.7856,5.0460,7.2691,-0.3255,6.5897,6.4035,3.1731,6.5897,3.6612

29.2050,0.1684,0.4151,4.9226,7.2073,-0.0167,6.6514,5.2922,2.9981,6.6514,3.5200

30.2050,0.0450,0.4151,5.6017,7.1456,0.0450,6.5279,5.4157,3.1113,6.5279,3.5994

31.2050,-0.3254,0.6621,4.3669,6.8369,0.0450,6.5279,5.4157,2.8335,6.5279,3.3613

32.2050,0.3536,0.6003,4.9843,7.1456,-0.1402,6.5897,5.4774,3.0702,6.5897,3.5730

33.2050,0.0450,0.7856,4.9843,7.2691,0.1685,6.4045,5.7244,3.1628,6.4045,3.6259

