Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.9130,36.9552,37.1913,37.2698,37.3875,36.8814,36.9020,38.1842,30.3397,37.1370,33.6208,36.3889

2.2670,36.9399,37.1798,37.2437,37.3978,36.8847,36.8712,38.1479,30.3257,37.1292,33.5984,36.3739

3.2050,36.9336,37.1705,37.2494,37.3610,36.8411,36.8949,38.1466,30.3387,37.1111,33.6168,36.3670

4.2050,36.8990,37.1633,37.2231,37.3231,36.8126,36.8542,38.1250,30.3499,37.0842,33.6021,36.3438

5.2050,36.8819,37.1586,37.1974,37.3323,36.8010,36.8337,38.1305,30.3585,37.0742,33.5961,36.3368

6.2050,36.8574,37.1254,37.1627,37.3028,36.7729,36.8187,38.0647,30.3466,37.0442,33.5826,36.3064

7.2050,36.8292,37.0996,37.1766,37.2859,36.7657,36.8021,38.0520,30.3497,37.0314,33.5759,36.2951

8.2050,36.8046,37.0781,37.1491,37.2495,36.7322,36.7775,38.0576,30.3339,37.0027,33.5557,36.2728

9.2050,36.8151,37.0938,37.1326,37.2362,36.7535,36.7507,38.0075,30.3647,37.0062,33.5577,36.2693

10.2050,36.7867,37.0343,37.1039,37.2295,36.7078,36.7255,37.9965,30.3521,36.9724,33.5388,36.2420

11.2050,36.7789,37.0178,37.1071,37.2205,36.6920,36.6994,37.9778,30.3522,36.9633,33.5258,36.2307

12.2050,36.7452,37.0255,37.0927,37.1950,36.6681,36.7171,37.9611,30.3629,36.9453,33.5400,36.2210

13.2050,36.7169,36.9993,37.0479,37.1759,36.6683,36.6889,37.9378,30.3646,36.9217,33.5267,36.2000

14.2050,36.7038,36.9871,37.0385,37.1790,36.6379,36.6613,37.9601,30.3570,36.9093,33.5092,36.1906

15.2050,36.7062,36.9637,37.0259,37.1618,36.6544,36.6586,37.9125,30.3604,36.9024,33.5095,36.1804

16.2050,36.6683,36.9543,37.0085,37.1542,36.6230,36.6450,37.8919,30.3561,36.8817,33.5005,36.1627

17.2060,36.6679,36.9264,36.9867,37.1081,36.5969,36.6151,37.8626,30.3552,36.8572,33.4852,36.1399

18.2050,36.6307,36.9038,36.9576,37.1182,36.5765,36.6068,37.8676,30.3413,36.8373,33.4740,36.1253

19.2050,36.6507,36.9007,36.9647,37.0903,36.5722,36.5778,37.8695,30.3398,36.8357,33.4588,36.1207

20.2050,36.6229,36.8892,36.9340,37.0686,36.5458,36.5757,37.8408,30.3433,36.8121,33.4595,36.1025

21.2050,36.5640,36.8652,36.9021,37.0553,36.5443,36.5532,37.8206,30.3503,36.7862,33.4518,36.0819

22.2050,36.5971,36.8326,36.8826,37.0279,36.5317,36.5149,37.8114,30.3475,36.7744,33.4312,36.0682

23.2050,36.5794,36.8188,36.8814,37.0402,36.5294,36.4967,37.7952,30.3640,36.7699,33.4304,36.0632

24.2060,36.5462,36.8030,36.8736,37.0034,36.4976,36.5149,37.7566,30.3616,36.7448,33.4382,36.0446

25.2050,36.5087,36.7931,36.8576,36.9828,36.4947,36.4933,37.7635,30.3577,36.7274,33.4255,36.0314

26.2050,36.4988,36.7770,36.8344,36.9694,36.4484,36.4699,37.7530,30.3666,36.7056,33.4182,36.0147

