Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.9130,1.7948,4.6704,59.4056,0.3326

2.2670,1.8027,4.7116,Inf,0.0000

3.2050,1.8001,4.6704,0.0000,0.3328

4.2050,1.8027,4.7116,58.2321,0.3358

5.2050,1.8027,4.6910,58.5413,0.2934

6.2050,1.8037,4.7065,58.7626,0.3328

7.2050,1.8039,4.6962,58.7853,0.2925

8.2050,1.8025,4.6653,58.2449,0.3119

9.2050,1.8016,4.6704,58.4894,0.3230

10.2050,1.8029,4.7219,58.7520,0.3295

11.2050,1.8035,4.6859,58.6194,0.2450

12.2050,1.8037,4.7168,58.8377,0.2580

13.2050,1.8043,4.6859,58.8799,0.2912

14.2050,1.8039,4.7013,58.9273,0.2925

15.2050,1.8059,4.7425,58.7549,0.3215

16.2050,1.8049,4.6807,58.4908,0.2814

17.2060,1.8049,4.6962,58.3248,0.3200

18.2050,1.8065,4.7065,58.8002,0.3154

19.2050,1.8075,4.6962,58.7187,0.3114

20.2050,1.8071,4.7116,58.7848,0.3301

21.2050,1.8069,4.6807,58.6893,0.3236

22.2050,1.8059,4.6910,58.7043,0.3067

23.2050,1.8055,4.6756,58.7361,0.3094

24.2060,1.8063,4.7219,58.6037,0.3260

25.2050,1.8063,4.7425,58.2630,0.2781

26.2050,1.8061,4.6756,58.6039,0.3058

27.2060,1.8059,4.6910,58.5816,0.2810

28.2050,1.8059,4.7065,58.4288,0.3236

29.2050,1.8085,4.7631,58.5262,0.3235

30.2050,1.8085,4.7116,58.4759,0.3114

31.2050,1.8087,4.6859,58.5963,0.3160

32.2050,1.8093,4.7065,58.4715,0.3089

33.2050,1.8097,4.6859,58.6811,0.3020

34.2050,1.8077,4.6704,58.9631,0.2396

35.2050,1.8055,4.6859,59.0504,0.3172

36.2050,1.8061,4.6910,58.3195,0.2925

37.2050,1.8063,4.6962,58.4841,0.3135

38.2050,1.8061,4.7013,58.4859,0.3203

39.2050,1.8043,4.7168,58.3851,0.3048

40.2050,1.8037,4.6962,58.4898,0.3264

41.2060,1.8041,4.6962,58.3025,0.3258

42.2050,1.8035,4.6910,58.8540,0.2465

43.2050,1.8031,4.6756,59.0570,0.3298

44.2050,1.8037,4.6859,58.5398,0.2972

45.2060,1.8039,4.6910,58.4747,0.3197

46.2050,1.8049,4.7168,58.5074,0.3100

47.2050,1.8049,4.6962,58.7429,0.2977

48.2050,1.8039,4.6756,58.6951,0.3249

49.2050,1.8023,4.6756,58.4861,0.3230

50.2060,1.8025,4.7013,58.4517,0.2877

51.2050,1.8017,4.6756,58.8154,0.2791

52.2050,1.8009,4.6704,58.6205,0.3065

53.2050,1.8015,4.6910,58.3361,0.2531

54.2050,1.8019,4.6962,58.3320,0.2440

55.2050,1.8025,4.7065,58.4150,0.2321

56.2050,1.8007,4.6704,58.3718,0.3245

