Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
1.8570,NaN,NaN,NaN

2.6480,0.0014,0.0012,0.0000

3.6480,0.0015,-0.0086,-0.0000

4.6480,0.0014,-0.0211,-0.0000

5.6480,0.0014,-0.0173,-0.0000

6.6480,0.0014,-0.0066,-0.0000

7.6490,0.0014,0.0096,0.0000

8.6490,0.0014,-0.0223,-0.0000

9.6480,0.0014,-0.0197,-0.0000

10.6490,0.0014,-0.0232,-0.0000

11.6480,0.0015,-0.0068,-0.0000

12.6480,0.0014,-0.0094,-0.0000

13.6490,0.0015,-0.0095,-0.0000

14.6490,0.0014,-0.0063,-0.0000

15.6480,0.0015,-0.0126,-0.0000

16.6480,0.0015,-0.0034,-0.0000

17.6480,0.0015,-0.0079,-0.0000

18.6480,0.0015,-0.0063,-0.0000

19.6480,0.0015,-0.0024,-0.0000

20.6480,0.0015,-0.0154,-0.0000

21.6490,0.0015,-0.0093,-0.0000

22.6480,0.0015,-0.0078,-0.0000

23.6480,0.0014,-0.0202,-0.0000

24.6480,0.0014,-0.0106,-0.0000

25.6480,0.0014,-0.0190,-0.0000

26.6480,0.0014,-0.0220,-0.0000

27.6480,0.0014,-0.0126,-0.0000

28.6480,0.0015,-0.0087,-0.0000

29.6490,0.0014,-0.0100,-0.0000

30.6480,0.0014,0.0020,0.0000

31.6480,0.0015,-0.0099,-0.0000

32.6490,0.0015,0.0003,0.0000

33.6490,0.0014,-0.0135,-0.0000

34.6480,0.0014,-0.0155,-0.0000

35.6490,0.0015,-0.0016,-0.0000

36.6490,0.0014,-0.0159,-0.0000

37.6480,0.0015,-0.0056,-0.0000

38.6480,0.0014,-0.0036,-0.0000

39.6480,0.0014,-0.0142,-0.0000

40.6480,0.0014,-0.0127,-0.0000

41.6480,0.0015,-0.0079,-0.0000

42.6480,0.0014,-0.0091,-0.0000

43.6480,0.0014,0.0028,0.0000

44.6490,0.0014,-0.0094,-0.0000

45.6480,0.0014,-0.0109,-0.0000

46.6480,0.0014,-0.0179,-0.0000

47.6480,0.0014,-0.0135,-0.0000

48.6480,0.0014,-0.0154,-0.0000

49.6480,0.0014,-0.0090,-0.0000

50.6490,0.0014,-0.0091,-0.0000

51.6480,0.0014,-0.0053,-0.0000

52.6480,0.0015,-0.0167,-0.0000

53.6480,0.0014,-0.0163,-0.0000

54.6480,0.0015,-0.0066,-0.0000

55.6480,0.0015,-0.0064,-0.0000

56.6480,0.0015,-0.0195,-0.0000

57.6480,0.0015,-0.0175,-0.0000

58.6480,0.0015,-0.0047,-0.0000

59.6480,0.0015,-0.0031,-0.0000

60.6480,0.0014,-0.0051,-0.0000

61.6480,0.0015,-0.0072,-0.0000

62.6480,0.0014,-0.0159,-0.0000

63.6480,0.0014,-0.0159,-0.0000

64.6480,0.0014,-0.0054,-0.0000

65.6480,0.0015,-0.0092,-0.0000

66.6480,0.0015,-0.0142,-0.0000

67.6480,0.0015,0.0029,0.0000

68.6480,0.0015,-0.0138,-0.0000

69.6480,0.0014,0.0052,0.0000

70.6480,0.0015,-0.0051,-0.0000

71.6480,0.0015,-0.0114,-0.0000

72.6480,0.0014,-0.0109,-0.0000

73.6480,0.0015,-0.0080,-0.0000

74.6490,0.0015,-0.0080,-0.0000

75.6490,0.0014,0.0013,0.0000

76.6480,0.0015,0.0107,0.0000

77.6480,0.0015,-0.0028,-0.0000

78.6480,0.0015,-0.0131,-0.0000

79.6490,0.0015,-0.0058,-0.0000

80.6480,0.0015,-0.0060,-0.0000

81.6480,0.0015,-0.0113,-0.0000

82.6480,0.0015,-0.0216,-0.0000

83.6480,0.0014,-0.0066,-0.0000

84.6480,0.0015,-0.0090,-0.0000

85.6480,0.0014,-0.0077,-0.0000

86.6480,0.0015,-0.0169,-0.0000

87.6480,0.0015,-0.0117,-0.0000

88.6480,0.0015,-0.0095,-0.0000

89.6480,0.0015,-0.0143,-0.0000

90.6480,0.0014,-0.0134,-0.0000

91.6480,0.0015,-0.0100,-0.0000

92.6480,0.0015,-0.0096,-0.0000

93.6480,0.0015,-0.0018,-0.0000

94.6480,0.0014,-0.0170,-0.0000

95.6480,0.0014,-0.0156,-0.0000

96.6480,0.0014,-0.0127,-0.0000

97.6480,0.0014,-0.0107,-0.0000

98.6480,0.0015,0.0043,0.0000

99.6490,0.0014,0.0017,0.0000

100.6490,0.0014,-0.0134,-0.0000

101.6480,0.0014,-0.0093,-0.0000

102.6480,0.0014,-0.0125,-0.0000

103.6480,0.0014,-0.0132,-0.0000

104.6480,0.0014,-0.0170,-0.0000

105.6490,0.0014,-0.0172,-0.0000

106.6490,0.0014,-0.0021,-0.0000

107.6480,0.0015,-0.0051,-0.0000

108.6480,0.0015,-0.0106,-0.0000

109.6480,0.0015,-0.0083,-0.0000

110.6480,0.0015,0.0038,0.0000

111.6480,0.0014,-0.0101,-0.0000

112.6480,0.0014,-0.0076,-0.0000

113.6480,0.0014,-0.0195,-0.0000

114.6480,0.0015,-0.0069,-0.0000

115.6480,0.0015,-0.0058,-0.0000

116.6480,0.0015,-0.0153,-0.0000

117.6490,0.0015,-0.0127,-0.0000

118.6480,0.0014,-0.0038,-0.0000

119.6480,0.0015,-0.0108,-0.0000

120.6480,0.0015,-0.0102,-0.0000

121.6480,0.0014,-0.0201,-0.0000

122.6480,0.0014,-0.0178,-0.0000

123.6480,0.0014,-0.0126,-0.0000

124.6480,0.0014,-0.0049,-0.0000

125.6480,0.0015,-0.0080,-0.0000

126.6480,0.0015,-0.0119,-0.0000

127.6480,0.0014,-0.0147,-0.0000

128.6480,0.0014,-0.0079,-0.0000

129.6480,0.0015,-0.0068,-0.0000

130.6480,0.0014,-0.0075,-0.0000

131.6480,0.0014,-0.0035,-0.0000

132.6480,0.0008,-0.0493,-0.0000

133.6480,0.0002,-0.0870,-0.0000

134.6480,3.6503,223.5963,816.1964

135.6480,5.0318,284.0356,1429.1989

136.6480,5.0795,284.0510,1442.8241

137.6480,5.0867,284.0410,1444.8352

138.6480,5.0909,284.0274,1445.9666

139.6480,5.0927,284.0208,1446.4296

140.6480,5.0936,284.0168,1446.6712

141.6480,2.6455,148.6315,393.2087

142.6480,0.0011,0.1231,0.0001

143.6480,0.0007,0.0930,0.0001

144.6480,0.0007,0.0915,0.0001

145.6480,0.0007,0.0874,0.0001

146.6490,0.0008,0.0821,0.0001

147.6480,0.0009,0.0646,0.0001

148.6480,0.0010,0.0605,0.0001

149.6480,0.0011,0.0672,0.0001

150.6490,0.0011,0.0732,0.0001

151.6480,0.0012,0.0662,0.0001

152.6480,0.0012,0.0492,0.0001

153.6480,0.0012,0.0543,0.0001

154.6480,0.0013,0.0708,0.0001

155.6480,0.0013,0.0572,0.0001

156.6480,0.0013,0.0723,0.0001

157.6480,0.0013,0.0661,0.0001

158.6480,0.0013,0.0599,0.0001

159.6480,0.0013,0.0612,0.0001

160.6480,0.0014,0.0517,0.0001

161.6480,0.0014,0.0669,0.0001

