Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.9490,1.0401,2.7153,0.0000,0.0001

2.3050,1.0600,2.8182,0.0000,0.0000

3.0770,1.0653,2.8079,0.0000,0.0001

4.0770,1.0654,2.7822,0.0000,0.0001

5.0780,1.0647,2.7719,0.0000,0.0002

6.0770,1.0649,2.7822,0.0000,0.0001

7.0770,1.0656,2.7925,0.0000,0.0001

8.0770,1.0664,2.7976,0.0000,0.0001

9.0770,1.0637,2.7205,0.0000,0.0001

10.0770,1.0572,2.6073,0.0000,0.0001

11.0770,1.0415,2.3088,0.0000,0.0001

12.0770,1.0197,2.2522,0.0000,0.0001

13.0770,0.9907,2.0567,0.0000,0.0001

14.0770,0.9541,1.8355,0.0000,0.0001

15.0770,0.9066,1.5422,0.0000,0.0001

16.0770,0.8526,1.3827,0.0000,0.0001

17.0770,0.7930,1.2490,0.0000,0.0001

18.0770,0.7331,1.2438,0.0000,0.0001

19.0770,0.6290,0.0244,0.0000,0.0001

20.0770,0.5293,0.0244,0.0000,0.0001

21.0770,0.4415,0.0347,0.0000,0.0001

22.0770,0.3559,0.0347,0.0000,0.0001

23.0770,0.2765,-0.0013,0.0000,0.0001

24.0770,0.2070,0.0347,0.0000,0.0001

25.0770,0.1492,0.0450,0.0000,0.0001

26.0770,0.0974,0.0399,0.0000,0.0001

27.0770,0.0511,0.0501,0.0000,0.0001

28.0770,0.0048,0.0450,0.0000,0.0001

29.0770,0.0056,0.0450,0.0000,0.0001

30.0770,0.0062,0.0399,0.0000,0.0001

31.0770,0.0066,0.0450,0.0000,0.0001

32.0780,0.0072,0.0501,0.0000,0.0001

33.0770,0.0084,0.0296,0.0000,0.0001

34.0770,0.0086,0.0399,0.0000,0.0001

35.0770,0.0086,0.0450,0.0000,0.0001

36.0770,0.0080,0.0244,0.0000,0.0001

37.0770,0.0066,0.0141,0.0000,0.0001

38.0770,0.0068,0.0501,0.0000,0.0001

39.0770,0.0058,0.0193,0.0000,0.0001

