Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
1.9180,NaN,NaN,NaN

2.4070,0.0017,0.0574,0.0001

3.4080,0.0017,0.0757,0.0001

4.4070,0.0017,0.0548,0.0001

5.4070,0.0017,0.0482,0.0001

6.4070,0.0017,0.0581,0.0001

7.4070,0.0017,0.0577,0.0001

8.4070,0.0017,0.0473,0.0001

9.4070,0.0017,0.0546,0.0001

10.4070,0.0017,0.0698,0.0001

11.4070,0.0017,0.0589,0.0001

12.4070,0.0017,0.0533,0.0001

13.4070,0.0017,0.0575,0.0001

14.4070,0.0017,0.0617,0.0001

15.4070,0.0017,0.0492,0.0001

16.4070,0.0017,0.0572,0.0001

17.4070,0.0017,0.0534,0.0001

18.4070,0.0017,0.0606,0.0001

19.4070,0.0017,0.0628,0.0001

20.4070,0.0017,0.0568,0.0001

21.4070,0.0017,0.0576,0.0001

22.4070,0.0017,0.0540,0.0001

23.4070,0.0017,0.0558,0.0001

24.4070,0.0017,0.0553,0.0001

25.4070,0.0017,0.0575,0.0001

26.4080,0.0017,0.0554,0.0001

27.4070,0.0017,0.0618,0.0001

28.4070,0.0017,0.0422,0.0001

29.4070,0.0017,0.0586,0.0001

30.4070,0.0017,0.0628,0.0001

31.4070,0.0017,0.0588,0.0001

32.4070,0.0017,0.0568,0.0001

33.4070,0.0017,0.0504,0.0001

34.4070,0.0017,0.0521,0.0001

35.4070,0.0017,0.0423,0.0001

36.4070,0.0017,0.0500,0.0001

37.4070,0.0017,0.0654,0.0001

38.4070,0.0017,0.0584,0.0001

39.4070,0.0017,0.0576,0.0001

40.4070,0.0017,0.0636,0.0001

41.4070,0.0017,0.0501,0.0001

42.4080,0.0017,0.0531,0.0001

43.4070,0.0017,0.0548,0.0001

44.4080,0.0017,0.0513,0.0001

45.4070,0.0017,0.0517,0.0001

46.4070,0.0017,0.0566,0.0001

47.4070,0.0017,0.0501,0.0001

48.4070,0.0017,0.0635,0.0001

49.4070,0.0017,0.0550,0.0001

50.4080,0.0017,0.0551,0.0001

51.4070,0.0017,0.0587,0.0001

52.4070,0.0017,0.0594,0.0001

53.4070,0.0017,0.0487,0.0001

54.4070,0.0017,0.0621,0.0001

55.4070,0.0017,0.0517,0.0001

56.4070,0.0017,0.0569,0.0001

57.4070,0.0017,0.0647,0.0001

58.4070,0.0017,0.0550,0.0001

59.4070,0.0017,0.0530,0.0001

60.4070,0.0017,0.0568,0.0001

61.4070,0.0017,0.0611,0.0001

62.4070,0.0017,0.0565,0.0001

63.4070,0.0017,0.0579,0.0001

64.4070,0.0017,0.0627,0.0001

65.4070,0.0017,0.0528,0.0001

66.4070,0.0017,0.0577,0.0001

67.4070,0.0017,0.0642,0.0001

68.4070,0.0017,0.0653,0.0001

69.4070,0.0017,0.0564,0.0001

70.4070,0.0017,0.0454,0.0001

71.4070,0.0017,0.0608,0.0001

72.4070,0.0017,0.0553,0.0001

73.4070,0.0017,0.0500,0.0001

74.4070,0.0017,0.0530,0.0001

75.4070,0.0017,0.0566,0.0001

76.4070,0.0017,0.0515,0.0001

77.4070,0.0017,0.0489,0.0001

78.4070,0.0017,0.0578,0.0001

79.4070,0.0017,0.0524,0.0001

80.4070,0.0017,0.0518,0.0001

81.4070,0.0017,0.0484,0.0001

82.4070,0.0017,0.0581,0.0001

83.4070,0.0017,0.0568,0.0001

84.4070,0.0017,0.0479,0.0001

85.4070,0.0017,0.0610,0.0001

86.4070,0.0017,0.0330,0.0001

87.4070,0.0017,0.0618,0.0001

88.4070,0.0017,0.0637,0.0001

89.4070,0.0017,0.0632,0.0001

90.4070,0.0017,0.0614,0.0001

91.4070,0.0017,0.0560,0.0001

92.4070,0.0017,0.0499,0.0001

93.4080,0.0017,0.0640,0.0001

94.4070,0.0017,0.0540,0.0001

95.4070,0.0017,0.0621,0.0001

96.4070,0.0017,0.0552,0.0001

97.4070,0.0017,0.0503,0.0001

98.4070,0.0017,0.0552,0.0001

99.4070,0.0017,0.0490,0.0001

100.4070,0.0017,0.0598,0.0001

101.4070,0.0017,0.0542,0.0001

102.4070,0.0017,0.0397,0.0001

103.4070,0.0017,0.0518,0.0001

104.4070,0.0017,0.0527,0.0001

105.4070,0.0017,0.0529,0.0001

106.4070,0.0017,0.0601,0.0001

107.4070,0.0017,0.0642,0.0001

108.4070,0.0017,0.0612,0.0001

109.4070,0.0017,0.0446,0.0001

110.4070,0.0017,0.0575,0.0001

111.4070,0.0017,0.0506,0.0001

112.4070,0.0017,0.0591,0.0001

113.4070,0.0017,0.0660,0.0001

114.4070,0.0017,0.0535,0.0001

115.4070,0.0017,0.0586,0.0001

116.4070,0.0017,0.0639,0.0001

117.4070,0.0017,0.0829,0.0001

118.4070,0.0017,0.0600,0.0001

119.4070,0.0017,0.0645,0.0001

120.4070,0.0017,0.0624,0.0001

121.4070,0.0017,0.0497,0.0001

