Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.8950,2.0788,5.4062,34.8736,0.1952

2.6860,2.0689,5.3547,Inf,0.0000

3.6850,2.0702,5.3908,0.0000,0.0001

4.6850,2.0689,5.3702,0.0000,0.0002

5.6850,2.0704,5.4010,0.0000,0.0001

6.6850,2.0712,5.3959,0.0000,0.0001

7.6850,2.0720,5.4010,0.0000,0.0001

8.6850,2.0711,5.3702,0.0000,0.0001

9.6850,2.0719,5.4062,0.0000,0.0001

10.6850,2.0720,5.3908,0.0000,0.0001

11.6850,2.0718,5.4010,0.0000,0.0001

12.6850,2.0732,5.3908,0.0000,0.0001

13.6850,2.0730,5.3856,0.0000,0.0001

14.6850,2.0710,5.3187,0.0000,0.0001

15.6860,2.0704,5.3856,0.0000,0.0001

16.6850,2.0714,5.4216,0.0000,0.0001

17.6850,2.0706,5.3805,0.0000,0.0001

18.6850,2.0710,5.3805,0.0000,0.0001

19.6850,2.0710,5.4062,0.0000,0.0001

20.6850,2.0710,5.3908,0.0000,0.0001

21.6850,2.0704,5.3856,0.0000,0.0001

22.6850,2.0706,5.3959,0.0000,0.0001

23.6850,2.0704,5.3805,0.0000,0.0001

24.6850,2.0728,5.3805,0.0000,0.0001

25.6860,2.0746,5.4319,0.0000,0.0001

26.6850,2.0762,5.4628,0.0000,0.0001

27.6850,2.0780,5.4268,0.0000,0.0001

28.6850,2.0772,5.3599,0.0000,0.0001

29.6850,2.0774,5.4113,0.0000,0.0001

30.6850,2.0774,5.3908,0.0000,0.0001

31.6850,2.0774,5.3856,0.0000,0.0001

32.6850,2.0764,5.3702,0.0000,0.0001

33.6850,2.0780,5.4216,0.0000,0.0001

34.6850,2.0792,5.4113,0.0000,0.0001

35.6850,2.0774,5.3856,0.0000,0.0001

36.6850,2.0734,5.3599,0.0000,0.0001

