Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.8760,-0.2019,0.2917,1.8355,1.9599,1.8973,1.2187,0.1677,0.9917,1.2187,1.0241

2.2320,0.2302,-0.0170,1.6503,1.7747,1.6503,1.4656,0.4147,0.9505,1.4656,1.0241

3.1510,-0.0168,0.1682,1.6503,1.7129,1.7121,1.0335,0.1677,0.8991,1.0335,0.9183

4.1520,0.1067,-0.4492,1.8973,1.7747,1.5268,1.4039,0.2912,0.8579,1.4039,0.9359

5.1510,0.2302,-0.2022,1.8355,1.7129,1.7738,1.4039,0.1677,0.9197,1.4039,0.9888

6.1510,0.7240,0.1065,1.6503,1.7129,1.6503,1.0952,0.2912,1.0225,1.0952,1.0329

7.1510,-0.3871,0.1065,1.5268,1.6512,1.4033,1.4039,0.3529,0.7756,1.4039,0.8654

8.1510,0.1684,-0.0170,1.6503,1.8981,2.3295,1.4656,0.2294,1.0431,1.4656,1.1035

