Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
1.8690,NaN,NaN,NaN

2.3160,0.0014,-0.0155,-0.0000

3.3160,0.0014,-0.0185,-0.0000

4.3150,0.0014,-0.0241,-0.0000

5.3150,0.0014,-0.0231,-0.0000

6.3150,0.0014,-0.0224,-0.0000

7.3150,0.0014,-0.0260,-0.0000

8.3150,0.0014,-0.0084,-0.0000

9.3150,0.0014,-0.0169,-0.0000

10.3150,0.0014,-0.0217,-0.0000

11.3150,0.0014,-0.0225,-0.0000

12.3150,0.0014,-0.0099,-0.0000

13.3150,0.0014,-0.0098,-0.0000

14.3150,0.0014,-0.0148,-0.0000

15.3150,0.0014,-0.0097,-0.0000

16.3150,0.0014,-0.0155,-0.0000

17.3150,0.0014,-0.0187,-0.0000

18.3150,0.0014,-0.0249,-0.0000

19.3150,0.0014,-0.0231,-0.0000

20.3150,0.0014,-0.0162,-0.0000

21.3150,0.0014,-0.0091,-0.0000

22.3150,0.0014,-0.0211,-0.0000

23.3150,0.0014,-0.0038,-0.0000

24.3150,0.0014,-0.0250,-0.0000

25.3150,0.0014,-0.0224,-0.0000

26.3150,0.0014,-0.0158,-0.0000

27.3150,0.0014,-0.0250,-0.0000

28.3150,0.0014,-0.0107,-0.0000

29.3150,0.0014,-0.0176,-0.0000

30.3150,0.0014,-0.0222,-0.0000

31.3150,0.0014,-0.0270,-0.0000

32.3150,0.0014,-0.0121,-0.0000

33.3150,0.0014,-0.0196,-0.0000

34.3160,0.0014,-0.0112,-0.0000

35.3150,0.0014,-0.0128,-0.0000

36.3150,0.0014,-0.0215,-0.0000

37.3160,0.0014,-0.0192,-0.0000

38.3150,0.0014,-0.0088,-0.0000

39.3160,0.0014,-0.0155,-0.0000

40.3150,0.0014,-0.0132,-0.0000

41.3150,0.0014,-0.0203,-0.0000

42.3150,0.0014,-0.0117,-0.0000

43.3150,0.0014,-0.0143,-0.0000

44.3150,0.0014,-0.0042,-0.0000

45.3150,0.0014,-0.0117,-0.0000

46.3150,0.0014,-0.0233,-0.0000

47.3160,0.0014,-0.0120,-0.0000

48.3150,0.0014,-0.0120,-0.0000

49.3150,0.0014,-0.0041,-0.0000

50.3160,0.0014,-0.0167,-0.0000

51.3150,0.0014,0.0020,0.0000

52.3150,0.0014,-0.0045,-0.0000

53.3150,0.0014,-0.0128,-0.0000

54.3150,0.0014,-0.0188,-0.0000

55.3150,0.0014,-0.0093,-0.0000

56.3150,0.0014,-0.0183,-0.0000

57.3150,0.0014,-0.0221,-0.0000

58.3150,0.0014,-0.0060,-0.0000

59.3160,0.0014,-0.0083,-0.0000

60.3150,0.0014,-0.0117,-0.0000

61.3160,0.0014,0.0013,0.0000

62.3150,0.0014,-0.0072,-0.0000

63.3150,0.0014,-0.0121,-0.0000

64.3150,0.0014,-0.0203,-0.0000

65.3150,0.0014,-0.0198,-0.0000

66.3150,0.0014,-0.0049,-0.0000

67.3150,0.0014,-0.0116,-0.0000

