Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.8930,23.4614,24.5257,23.0290,23.1231,22.8932,22.9637,23.9268,22.9485,23.4065,22.9561,23.3589

2.2480,23.4423,24.5345,23.0482,23.1097,22.8930,22.9507,23.9342,22.9550,23.4055,22.9528,23.3584

3.1500,23.4550,24.5478,23.0468,23.1173,22.9189,22.9317,23.9399,22.9501,23.4172,22.9409,23.3634

4.1500,23.4307,24.5512,23.0403,23.1335,22.9106,22.9471,23.9495,22.9494,23.4133,22.9483,23.3640

