Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.8930,-0.0168,0.5386,4.1199,5.1084,0.4772,5.9723,4.1808,2.4014,5.9723,2.9115

2.4170,-0.6958,1.2177,3.3173,4.7997,0.0450,5.9723,3.6869,2.0618,5.9723,2.6205

3.4170,-0.2637,1.4647,3.4408,5.5405,-0.0167,5.8489,4.1191,2.3808,5.8489,2.8762

4.4170,0.2919,0.6003,3.3173,4.9231,-0.0785,6.2193,3.2547,2.0515,6.2193,2.6469

5.4170,0.6005,0.5386,4.4904,5.2318,-0.2637,6.0958,3.5017,2.3499,6.0958,2.8850

6.4170,0.2302,0.6003,4.3052,5.2318,0.7859,6.2193,3.7487,2.4837,6.2193,3.0173

7.4170,-0.0785,0.7856,3.5643,5.3553,0.1067,6.0958,4.0574,2.2985,6.0958,2.8409

8.4180,0.4771,0.4769,3.6260,5.1084,0.1685,6.3427,3.3782,2.2058,6.3427,2.7968

9.4170,-0.2637,1.0325,4.4904,4.7997,0.1685,6.2810,3.9339,2.3602,6.2810,2.9203

10.4170,-0.3254,0.8473,3.6260,4.9849,-0.0167,6.0341,3.4400,2.0927,6.0341,2.6557

11.4170,0.1067,0.8473,3.8112,5.5405,0.1685,5.6636,3.4400,2.3190,5.6636,2.7968

12.4170,-1.5599,1.3412,3.2556,5.4170,-0.2020,6.0341,3.6252,1.9795,6.0341,2.5587

13.4170,0.1067,0.2299,3.8730,5.2318,-0.2020,6.2193,3.8104,2.1750,6.2193,2.7527

14.4170,-0.0168,0.7238,4.1199,5.2318,0.2302,6.2193,2.8225,2.1853,6.2193,2.7616

15.4170,-0.0785,0.7856,3.9347,3.9971,-0.2637,6.2810,3.8104,2.0309,6.2810,2.6381

16.4170,-0.3254,0.9090,3.6260,5.0466,-0.1402,6.2810,3.6252,2.1235,6.2810,2.7175

17.4170,0.0450,0.4769,4.7373,5.4170,-0.2637,6.0341,3.3782,2.2985,6.0341,2.8321

18.4170,0.4153,0.4151,3.5643,4.9231,0.0450,6.5897,2.8225,2.0309,6.5897,2.6822

19.4170,-0.5723,0.8473,4.1199,4.9849,0.1685,6.2193,3.5017,2.1750,6.2193,2.7528

20.4180,-0.0785,0.2299,3.9347,5.0466,0.4772,6.2810,3.7487,2.2264,6.2810,2.8057

21.4170,-0.0168,0.6621,4.4904,5.1701,0.0450,5.9723,3.5634,2.3190,5.9723,2.8409

22.4170,0.2919,0.5386,4.1199,5.0466,-0.0785,6.3427,3.5017,2.2367,6.3427,2.8233

23.4170,-0.0168,0.9708,3.8730,5.0466,-0.3255,6.5897,3.4400,2.1647,6.5897,2.7968

24.4180,-0.0785,0.7238,3.7495,5.3553,0.1067,6.5279,4.3043,2.3602,6.5279,2.9556

25.4170,0.2919,0.3534,4.1199,5.1084,-0.2637,5.8489,3.6252,2.2058,5.8489,2.7263

26.4170,0.9709,1.1560,3.9347,4.8614,0.2302,5.9723,3.7487,2.4836,5.9723,2.9820

27.4170,0.2302,0.5386,3.6878,4.7379,-0.0785,6.6514,3.0695,2.0309,6.6514,2.6910

28.4170,0.4153,1.4029,3.3173,5.4170,-0.3255,6.2193,3.4400,2.2778,6.2193,2.8409

29.4170,-0.0168,0.8473,4.6139,5.2936,-0.1402,6.1575,3.6252,2.3705,6.1575,2.9115

30.4170,-0.1402,0.7238,3.6878,5.1701,-0.2020,5.9723,3.6252,2.1441,5.9723,2.6910

31.4170,0.1067,0.5386,3.9965,4.6145,0.0450,7.2070,3.5017,2.1338,7.2070,2.8586

32.4170,0.1067,0.3534,4.1199,4.7379,-0.2020,6.5897,3.1930,2.0515,6.5897,2.6998

33.4170,0.3536,0.2917,3.8112,4.9231,1.3416,5.7871,3.8721,2.4322,5.7871,2.9115

34.4170,-0.1402,0.4151,3.9965,4.9849,0.1067,5.2932,3.8104,2.1956,5.2932,2.6381

35.4170,-0.3254,0.6621,3.9965,5.2936,-0.0167,5.8489,4.7983,2.4014,5.8489,2.8939

36.4170,-0.2019,0.5386,3.4408,5.1701,-0.3872,6.1575,3.6252,2.0309,6.1575,2.6204

37.4180,-0.3871,0.8473,4.0582,4.9231,0.2302,6.4045,3.6252,2.2162,6.4045,2.8145

38.4170,0.7857,0.7856,3.7495,5.1701,-0.0785,5.6636,3.7487,2.3602,5.6636,2.8321

39.4170,-0.1402,0.7238,4.0582,5.4170,-0.2020,6.0958,4.0574,2.3190,6.0958,2.8586

40.4170,-0.0785,0.8473,4.4286,4.4293,-0.0785,5.9723,3.8104,2.2264,5.9723,2.7616

41.4170,0.2302,0.4151,3.9347,4.7379,0.6007,5.7871,3.5017,2.2367,5.7871,2.7439

