Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.9550,0.0450,-0.6344,1.7738,1.5895,1.8355,1.3421,0.5381,0.8579,1.3421,0.9271

2.9320,-0.5723,0.1682,1.6503,1.9599,1.7121,1.2187,0.4764,0.8991,1.2187,0.9447

3.9320,0.1684,0.0447,1.8973,1.5277,2.0208,1.2804,0.2912,0.9917,1.2804,1.0329

4.9320,-0.0785,0.1065,1.8973,2.1451,1.9590,1.2187,0.2912,1.0534,1.2187,1.0770

5.9320,-0.3871,0.1065,1.7121,1.7747,1.6503,0.9100,0.1677,0.8373,0.9100,0.8477

6.9330,0.3536,0.3534,1.8973,1.6512,1.5268,1.3421,0.3529,1.0225,1.3421,1.0682

7.9320,0.2302,-0.0788,1.7121,1.8364,1.5886,1.3421,0.1677,0.9094,1.3421,0.9712

8.9330,-0.3871,0.7238,2.0825,1.8981,1.4033,1.1569,0.3529,1.0123,1.1569,1.0329

9.9320,0.1067,-0.0170,1.6503,1.8981,2.5765,1.5891,0.4147,1.1049,1.5891,1.1741

10.9320,0.0450,-0.5109,1.9590,1.4043,1.7738,1.2804,0.2912,0.8271,1.2804,0.8918

11.9320,-0.2637,-0.0788,1.4034,1.7747,1.8355,0.9717,0.5999,0.8785,0.9717,0.8918

12.9320,0.1684,0.2299,1.8973,1.8981,1.7121,1.4656,0.0442,0.9917,1.4656,1.0594

13.9320,-0.0168,-0.2640,2.0208,2.7624,1.9590,1.3421,0.5999,1.1769,1.3421,1.2005

14.9320,0.1067,0.1682,2.0825,1.8981,2.5147,1.7126,0.1677,1.1563,1.7126,1.2358

15.9320,0.1067,0.0447,2.5147,1.8981,1.5886,1.0952,0.4147,1.0946,1.0952,1.0947

16.9330,-0.0785,-0.0170,1.9590,1.8981,1.4033,1.5891,0.5381,0.9505,1.5891,1.0417

17.9320,-0.0785,0.0447,2.0825,1.8981,1.7121,1.8360,0.4764,1.0226,1.8360,1.1388

18.9320,-0.1402,-0.0170,1.5268,1.9599,1.7738,1.7743,0.5381,0.9402,1.7743,1.0594

19.9320,-0.0168,0.1065,2.2677,1.7747,1.5268,1.5891,0.2294,0.9814,1.5891,1.0682

20.9330,0.1684,-0.0788,2.1442,1.6512,1.5886,1.1569,0.4147,0.9814,1.1569,1.0065

21.9320,0.2919,0.0447,1.7738,1.5895,1.8355,1.4039,0.1677,0.9505,1.4039,1.0153

22.9320,0.2919,0.1682,1.8973,1.5277,1.5268,1.4039,0.2912,0.9505,1.4039,1.0153

23.9320,0.2919,0.2299,1.7738,1.6512,1.5886,1.5274,0.1677,0.9505,1.5274,1.0329

24.9320,0.2302,-0.0170,1.5268,1.7747,1.5886,1.2804,0.4147,0.9196,1.2804,0.9712

25.9330,0.2302,-0.2640,1.8973,1.8981,1.7121,1.3421,0.0442,0.9196,1.3421,0.9800

26.9320,-0.1402,-0.0788,1.7738,1.7747,1.8355,1.5891,0.7234,0.9814,1.5891,1.0682

27.9330,0.1684,-0.1405,1.7121,1.8981,1.8973,1.4656,0.3529,0.9814,1.4656,1.0506

28.9320,0.2919,0.1682,1.7121,1.8364,1.5886,1.4656,0.2294,0.9711,1.4656,1.0417

29.9320,0.2302,-0.3257,2.3912,2.3303,1.8973,1.3421,0.2912,1.1357,1.3421,1.1652

30.9330,0.1684,-0.0170,1.6503,1.7747,1.7121,0.9100,0.2912,0.9299,0.9100,0.9271

31.9330,0.1067,0.2299,1.5886,1.7747,1.9590,1.2187,0.4147,1.0123,1.2187,1.0417

32.9320,-0.1402,0.1682,1.1564,1.8364,1.8355,1.4656,0.5999,0.9094,1.4656,0.9888

33.9320,-2.1155,0.4151,2.0208,1.8981,1.4651,1.8978,0.3529,0.6728,1.8978,0.8478

34.9330,0.1067,-0.2022,1.8973,2.1451,1.5268,1.4039,0.2294,0.9505,1.4039,1.0153

35.9320,-0.0168,-0.0170,1.6503,1.6512,1.7738,1.1569,0.4147,0.9094,1.1569,0.9447

36.9320,0.0450,-0.0788,1.9590,1.7129,1.8973,1.5891,0.4147,0.9917,1.5891,1.0770

37.9320,-0.0785,-0.6961,1.5886,1.8981,1.4033,1.0952,0.4764,0.7653,1.0952,0.8124

38.9320,-0.0168,0.5386,1.9590,1.7129,1.8355,0.2926,0.5381,1.0946,0.2926,0.9800

39.9320,-0.0168,0.2917,2.0208,1.7747,1.4651,1.1569,0.4764,1.0020,1.1569,1.0241

40.9320,-0.3254,0.1682,2.6999,2.2068,1.5268,1.5274,0.2912,1.0946,1.5274,1.1564

41.9320,0.0450,-0.0170,0.6625,1.6512,2.2677,1.6508,0.2912,0.8168,1.6508,0.9359

42.9330,0.0450,0.0447,1.9590,1.7129,2.0825,1.6508,0.3529,1.0328,1.6508,1.1211

43.9320,0.1684,0.2917,1.9590,1.6512,1.9590,1.1569,0.1677,1.0328,1.1569,1.0506

44.9320,0.0450,-0.0170,2.1442,1.4043,1.9590,1.4656,0.4764,1.0020,1.4656,1.0682

45.9320,0.1067,0.4151,2.3912,1.4660,2.1443,1.1569,0.5381,1.1769,1.1569,1.1741

46.9320,-0.2019,-0.2022,2.0825,1.7129,1.5886,1.4039,0.9086,0.9814,1.4039,1.0418

47.9320,-0.0785,-0.4492,1.6503,1.9599,1.5886,1.4656,0.4764,0.8579,1.4656,0.9447

48.9320,0.5388,-0.0788,1.8973,2.0216,1.6503,1.0952,0.2912,1.0534,1.0952,1.0594

49.9320,-0.2637,0.2299,2.0208,2.2686,1.9590,1.2804,0.2294,1.0740,1.2804,1.1035

50.9320,0.2302,0.0447,2.0208,1.2808,1.9590,1.0952,0.4147,0.9917,1.0952,1.0065

