Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.8670,0.7998,2.0927,0.0000,0.0000

2.2220,0.8008,2.0979,0.0000,0.0000

2.8900,0.7978,2.0722,0.0000,0.0001

3.8900,0.7963,2.0722,0.0000,0.0001

4.8900,0.7974,2.0979,0.0000,0.0003

5.8900,0.7975,2.0876,0.0000,0.0001

6.8900,0.7975,2.0876,0.0000,0.0001

7.8900,0.7961,2.0567,0.0000,0.0001

8.8900,0.7910,1.9641,0.0000,0.0001

9.8900,0.7869,1.9641,0.0000,0.0001

10.8900,0.7805,1.9281,0.0000,0.0001

11.8900,0.7746,1.9435,0.0000,0.0001

12.8910,0.7710,1.9796,0.0000,0.0001

13.8900,0.7656,1.9333,0.0000,0.0001

14.8900,0.7583,1.9075,0.0000,0.0001

15.8910,0.7515,1.9127,0.0000,0.0001

16.8910,0.7468,1.9641,0.0000,0.0001

17.8900,0.7418,1.9281,0.0000,0.0001

18.8900,0.7418,1.9641,0.0000,0.0001

19.8900,0.7400,1.9178,0.0000,0.0001

20.8900,0.7402,1.9333,0.0000,0.0001

21.8900,0.7394,1.9230,0.0000,0.0001

22.8910,0.7355,1.8767,0.0000,0.0001

23.8900,0.7343,1.9024,0.0000,0.0001

24.8900,0.7343,1.9075,0.0000,0.0001

25.8900,0.7347,1.9230,0.0000,0.0001

26.8900,0.7319,1.8921,0.0000,0.0001

27.8900,0.7303,1.8869,0.0000,0.0001

28.8900,0.7295,1.9435,0.0000,0.0001

29.8900,0.7287,1.8972,0.0000,0.0001

30.8900,0.7273,1.8972,0.0000,0.0001

31.8910,0.7265,1.9024,0.0000,0.0001

32.8900,0.7273,1.8972,0.0000,0.0001

33.8900,0.7273,1.9024,0.0000,0.0001

34.8900,0.7279,1.9230,0.0000,0.0001

35.8900,0.7277,1.9178,0.0000,0.0001

36.8900,0.7287,1.9178,0.0000,0.0001

37.8900,0.7291,1.8972,0.0000,0.0001

38.8900,0.7287,1.9333,0.0000,0.0001

39.8900,0.7301,1.9333,0.0000,0.0001

40.8900,0.7305,1.9075,0.0000,0.0001

41.8900,0.7311,1.9178,0.0000,0.0001

42.8900,0.7313,1.9024,0.0000,0.0001

43.8900,0.7309,1.8921,0.0000,0.0001

44.8900,0.7301,1.9024,0.0000,0.0001

45.8900,0.7313,1.9487,0.0000,0.0001

46.8900,0.7303,1.8921,0.0000,0.0001

47.8900,0.7309,1.9127,0.0000,0.0001

48.8900,0.7299,1.9075,0.0000,0.0001

49.8900,0.7281,1.8869,0.0000,0.0001

50.8900,0.7269,1.8767,0.0000,0.0001

51.8900,0.7269,1.9178,0.0000,0.0001

52.8900,0.7271,1.9075,0.0000,0.0001

53.8900,0.7265,1.8767,0.0000,0.0001

54.8900,0.7259,1.8869,0.0000,0.0001

55.8900,0.7239,1.8972,0.0000,0.0001

56.8900,0.7237,1.8869,0.0000,0.0001

57.8900,0.7247,1.9384,0.0000,0.0001

58.8900,0.7261,1.9435,0.0000,0.0001

59.8900,0.7281,1.9384,0.0000,0.0001

60.8900,0.7289,1.8972,0.0000,0.0001

61.8900,0.7285,1.9075,0.0000,0.0008

62.8900,0.7289,1.9178,0.0000,0.0009

63.8900,0.7293,1.8869,0.0000,0.0008

64.8900,0.7305,1.9178,0.0000,0.0009

65.8900,0.7303,1.8921,0.0000,0.0009

66.8900,0.7277,1.8201,0.0000,0.0009

67.8900,0.7291,1.9744,0.0000,0.0009

68.8900,0.7249,1.8355,0.0000,0.0008

69.8900,0.7231,1.8921,0.0000,0.0009

70.8900,0.7221,1.8715,0.0000,0.0009

71.8900,0.7214,1.8869,0.0000,0.0008

72.8900,0.7198,1.8767,0.0000,0.0009

73.8900,0.7200,1.8921,0.0000,0.0009

74.8900,0.7196,1.9075,0.0000,0.0009

75.8900,0.7194,1.8869,0.0000,0.0009

76.8900,0.7221,1.8921,0.0000,0.0009

77.8900,0.7188,1.8869,0.0000,0.0009

78.8900,0.7212,1.8972,0.0000,0.0009

79.8900,0.7192,1.8406,0.0000,0.0009

80.8900,0.7214,1.9281,0.0000,0.0009

81.8900,0.7218,1.8972,0.0000,0.0009

82.8900,0.7218,1.8767,0.0000,0.0009

83.8900,0.7210,1.8715,0.0000,0.0009

84.8900,0.7184,1.8406,0.0000,0.0009

85.8900,0.7178,1.8715,0.0000,0.0009

86.8900,0.7166,1.8612,0.0000,0.0009

87.8910,0.7210,2.0001,0.0000,0.0009

88.8900,0.7206,1.8869,0.0000,0.0009

89.8900,0.7210,1.8509,0.0000,0.0009

90.8900,0.7186,1.8664,0.0000,0.0009

91.8900,0.7198,1.9281,0.0000,0.0009

92.8900,0.7227,1.9538,0.0000,0.0009

93.8900,0.7265,1.9693,0.0000,0.0009

94.8900,0.7289,1.9024,0.0000,0.0009

95.8900,0.7299,1.8972,0.0000,0.0009

96.8900,0.7303,1.8715,0.0000,0.0009

97.8910,0.7259,1.8869,0.0000,0.0009

98.8900,0.7257,1.8818,0.0000,0.0009

99.8900,0.7271,1.8869,0.0000,0.0009

100.8900,0.7293,1.9230,0.0000,0.0009

101.8910,0.7289,1.9178,0.0000,0.0009

102.8900,0.7263,1.8869,0.0000,0.0009

103.8900,0.7219,1.8561,0.0000,0.0009

104.8900,0.7212,1.8818,0.0000,0.0009

105.8900,0.7206,1.8818,0.0000,0.0009

106.8900,0.7221,1.9127,0.0000,0.0009

107.8900,0.7218,1.8767,0.0000,0.0009

108.8900,0.7206,1.8509,0.0000,0.0008

