Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
127.3160,5.0887,283.9347,1444.8449

128.3160,5.0885,283.9346,1444.8099

129.3160,5.0876,283.9376,1444.5712

130.3160,5.0871,283.9399,1444.4318

131.3160,5.0822,283.9592,1443.1255

132.3160,5.0825,283.9587,1443.2216

133.3160,5.0817,283.9605,1443.0010

134.3160,5.0774,283.9772,1441.8535

135.3160,5.0769,283.9786,1441.7288

136.3160,5.0781,283.9734,1442.0439

137.3160,5.0814,283.9592,1442.9012

138.3160,5.0877,283.9313,1444.5534

139.3160,5.0860,283.9370,1444.0993

140.3160,5.0840,283.9448,1443.5824

141.3160,5.0832,283.9480,1443.3724

142.3160,5.0826,283.9509,1443.1964

143.3160,5.0825,283.9514,1443.1777

144.3160,5.0821,283.9511,1443.0706

145.3160,5.0834,283.9459,1443.4024

146.3160,5.0831,283.9453,1443.3325

147.3160,5.0843,283.9407,1443.6426

148.3160,5.0848,283.9375,1443.7555

149.3160,5.0842,283.9404,1443.5963

150.3170,5.0846,283.9379,1443.7193

151.3160,5.0842,283.9393,1443.6181

152.3170,5.0843,283.9372,1443.6356

153.3160,5.0843,283.9374,1443.6245

154.3160,5.0836,283.9391,1443.4399

155.3160,5.0842,283.9372,1443.6002

156.3170,5.0840,283.9376,1443.5356

157.3160,5.0841,283.9360,1443.5727

158.3160,5.0838,283.9374,1443.4871

159.3170,5.0851,283.9318,1443.8324

160.3160,5.0854,283.9305,1443.8873

161.3160,5.0851,283.9298,1443.8108

162.3170,5.0846,283.9311,1443.6811

163.3160,5.0824,283.9410,1443.1128

164.3160,5.0838,283.9337,1443.4700

165.3160,5.0835,283.9356,1443.3814

166.3160,5.0821,283.9400,1443.0111

167.3160,5.0820,283.9414,1442.9787

168.3160,5.0826,283.9377,1443.1522

169.3160,5.0830,283.9355,1443.2345

170.3160,5.0838,283.9322,1443.4472

171.3160,5.0836,283.9312,1443.3981

172.3160,5.0823,283.9373,1443.0598

173.3160,5.0836,283.9315,1443.3964

174.3160,5.0828,283.9346,1443.1789

175.3170,5.0838,283.9299,1443.4289

176.3160,5.0837,283.9297,1443.4238

177.3160,5.0827,283.9330,1443.1372

178.3160,5.0842,283.9268,1443.5349

179.3160,5.0833,283.9309,1443.3173

180.3160,5.0833,283.9309,1443.2933

181.3160,5.0837,283.9285,1443.4000

182.3160,5.0840,283.9273,1443.4927

183.3160,5.0856,283.9192,1443.9061

184.3160,5.0855,283.9195,1443.8739

185.3160,5.0845,283.9230,1443.6207

186.3170,5.0837,283.9266,1443.4068

187.3160,5.0836,283.9264,1443.3765

188.3160,5.0844,283.9246,1443.5769

189.3160,5.0848,283.9218,1443.6756

190.3160,5.0848,283.9214,1443.6776

191.3160,5.0853,283.9187,1443.8101

192.3160,5.0857,283.9166,1443.9157

193.3160,5.0858,283.9161,1443.9404

194.3160,5.0846,283.9203,1443.6220

195.3160,5.0849,283.9192,1443.7133

196.3160,5.0845,283.9199,1443.5964

197.3160,5.0852,283.9173,1443.7801

198.3160,5.0845,283.9192,1443.6008

199.3160,5.0857,283.9143,1443.9077

200.3160,5.0857,283.9136,1443.8913

201.3160,5.0851,283.9149,1443.7436

202.3160,5.0841,283.9197,1443.4735

203.3160,5.0845,283.9188,1443.5829

204.3160,5.0848,283.9162,1443.6489

205.3160,5.0838,283.9201,1443.3983

206.3160,5.0845,283.9162,1443.5770

207.3160,5.0844,283.9173,1443.5518

208.3160,5.0848,283.9150,1443.6468

209.3160,5.0852,283.9138,1443.7585

210.3160,5.0852,283.9131,1443.7546

211.3160,5.0850,283.9137,1443.6938

212.3170,5.0850,283.9137,1443.7052

213.3170,5.0864,283.9072,1444.0797

214.3160,5.0854,283.9103,1443.8073

215.3160,5.0848,283.9129,1443.6527

216.3170,5.0855,283.9108,1443.8269

217.3160,5.0864,283.9063,1444.0601

218.3160,5.0872,283.9024,1444.2671

219.3160,5.0882,283.8989,1444.5371

220.3160,5.0888,283.8952,1444.6897

221.3160,5.0894,283.8918,1444.8367

222.3160,5.0902,283.8885,1445.0416

223.3160,5.0894,283.8922,1444.8478

224.3160,5.0908,283.8857,1445.2111

225.3160,5.0913,283.8831,1445.3450

226.3170,5.0918,283.8813,1445.4698

227.3160,5.0922,283.8794,1445.5617

228.3170,5.0922,283.8795,1445.5623

229.3160,5.0923,283.8791,1445.5915

230.3160,5.0920,283.8794,1445.5175

231.3160,5.0921,283.8790,1445.5421

232.3160,5.0924,283.8769,1445.6229

233.3160,5.0921,283.8777,1445.5462

234.3160,5.0922,283.8779,1445.5554

235.3160,5.0920,283.8782,1445.5194

236.3160,5.0919,283.8803,1445.4834

237.3160,5.0919,283.8787,1445.4729

238.3160,5.0915,283.8807,1445.3711

239.3160,5.0916,283.8806,1445.4015

240.3170,5.0918,283.8787,1445.4535

241.3160,5.0919,283.8779,1445.4849

242.3160,5.0920,283.8774,1445.5130

243.3160,5.0921,283.8775,1445.5247

244.3170,5.0914,283.8808,1445.3562

245.3160,5.0918,283.8791,1445.4628

246.3170,5.0917,283.8791,1445.4302

247.3160,5.0914,283.8818,1445.3525

248.3160,5.0911,283.8818,1445.2707

249.3160,5.0914,283.8812,1445.3486

250.3160,5.0907,283.8824,1445.1620

251.3160,5.0911,283.8812,1445.2613

252.3160,5.0919,283.8780,1445.4728

253.3160,5.0889,283.8905,1444.7003

254.3160,5.0894,283.8891,1444.8145

255.3160,5.0896,283.8874,1444.8650

256.3160,5.0899,283.8856,1444.9431

257.3160,5.0903,283.8844,1445.0548

258.3160,5.0902,283.8840,1445.0365

259.3160,5.0896,283.8881,1444.8636

260.3160,5.0892,283.8887,1444.7705

261.3160,5.0901,283.8854,1444.9924

262.3160,5.0903,283.8839,1445.0556

263.3160,5.0901,283.8850,1445.0067

264.3160,5.0897,283.8870,1444.9065

265.3160,5.0901,283.8851,1444.9971

266.3160,5.0902,283.8851,1445.0225

267.3160,5.0903,283.8833,1445.0558

268.3160,5.0903,283.8835,1445.0654

269.3170,5.0896,283.8876,1444.8718

270.3160,5.0899,283.8867,1444.9658

271.3160,5.0898,283.8855,1444.9324

272.3160,5.0900,283.8857,1444.9708

273.3160,5.0901,283.8848,1445.0067

274.3160,5.0897,283.8869,1444.9033

275.3160,5.0895,283.8873,1444.8382

276.3160,5.0894,283.8870,1444.8278

277.3160,5.0894,283.8878,1444.8295

278.3160,5.0891,283.8886,1444.7409

279.3160,5.0889,283.8898,1444.6947

280.3160,5.0886,283.8908,1444.6059

281.3170,5.0877,283.8945,1444.3724

282.3160,5.0877,283.8957,1444.3630

283.3160,5.0878,283.8931,1444.3938

284.3160,5.0877,283.8937,1444.3701

285.3170,5.0878,283.8936,1444.4059

286.3160,5.0880,283.8927,1444.4408

287.3160,5.0880,283.8926,1444.4317

288.3160,5.0879,283.8921,1444.4231

289.3160,5.0877,283.8933,1444.3536

290.3160,5.0876,283.8952,1444.3429

291.3160,5.0878,283.8928,1444.3936

292.3160,5.0875,283.8939,1444.3035

293.3160,5.0871,283.8963,1444.2099

294.3170,5.0869,283.8971,1444.1517

295.3160,5.0866,283.8988,1444.0764

296.3160,5.0867,283.8978,1444.1057

297.3160,5.0868,283.8968,1444.1330

298.3160,5.0865,283.8992,1444.0584

299.3160,5.0865,283.8993,1444.0578

300.3160,5.0869,283.8983,1444.1704

301.3160,5.0869,283.8978,1444.1604

302.3160,5.0864,283.9002,1444.0428

303.3170,5.0861,283.9016,1443.9438

304.3160,5.0863,283.9007,1444.0173

305.3160,5.0864,283.8995,1444.0334

306.3160,5.0858,283.9014,1443.8718

307.3160,5.0857,283.9026,1443.8393

308.3160,5.0855,283.9033,1443.7978

309.3160,5.0857,283.9027,1443.8418

310.3160,5.0855,283.9044,1443.8018

311.3160,5.0853,283.9053,1443.7549

312.3160,5.0851,283.9068,1443.7017

313.3160,5.0848,283.9077,1443.6205

314.3170,5.0844,283.9106,1443.5122

315.3160,5.0839,283.9120,1443.3666

316.3160,5.0835,283.9131,1443.2812

317.3160,5.0829,283.9168,1443.1235

318.3160,5.0825,283.9191,1443.0215

319.3160,5.0817,283.9220,1442.8033

320.3160,5.0807,283.9268,1442.5477

321.3160,5.0808,283.9268,1442.5864

322.3160,5.0811,283.9265,1442.6622

323.3160,5.0812,283.9254,1442.6863

324.3160,5.0811,283.9254,1442.6605

325.3170,5.0812,283.9258,1442.6762

326.3160,5.0813,283.9254,1442.7233

327.3160,5.0814,283.9252,1442.7509

328.3170,5.0815,283.9254,1442.7658

329.3160,5.0819,283.9241,1442.8600

330.3160,5.0819,283.9246,1442.8828

331.3160,5.0820,283.9235,1442.9067

332.3160,5.0821,283.9228,1442.9220

333.3160,5.0822,283.9232,1442.9404

334.3160,5.0820,283.9235,1442.8995

335.3160,5.0820,283.9252,1442.9042

336.3160,5.0821,283.9237,1442.9406

337.3160,5.0820,283.9240,1442.9127

338.3160,5.0820,283.9243,1442.9166

339.3160,5.0816,283.9259,1442.8104

340.3160,5.0817,283.9254,1442.8315

341.3160,5.0813,283.9278,1442.7338

342.3160,5.0817,283.9272,1442.8195

343.3160,5.0814,283.9276,1442.7490

344.3160,5.0812,283.9288,1442.7110

345.3160,5.0816,283.9284,1442.8053

346.3160,5.0817,283.9270,1442.8383

347.3160,5.0820,283.9261,1442.8994

348.3160,5.0822,283.9249,1442.9508

349.3170,5.0821,283.9255,1442.9354

350.3170,5.0806,283.9324,1442.5607

351.3160,5.0809,283.9317,1442.6402

352.3160,5.0813,283.9301,1442.7478

353.3160,5.0818,283.9278,1442.8556

354.3160,5.0818,283.9284,1442.8608

355.3160,5.0815,283.9303,1442.7779

356.3160,5.0806,283.9341,1442.5683

357.3160,5.0798,283.9382,1442.3391

358.3160,5.0785,283.9438,1442.0211

359.3160,5.0782,283.9459,1441.9431

360.3160,5.0781,283.9463,1441.9095

361.3160,5.0784,283.9454,1441.9749

362.3160,5.0785,283.9453,1442.0156

363.3160,5.0788,283.9445,1442.0890

364.3160,5.0792,283.9430,1442.2124

365.3160,5.0798,283.9405,1442.3686

366.3160,5.0798,283.9414,1442.3758

367.3160,5.0799,283.9410,1442.3780

368.3170,5.0799,283.9402,1442.4004

369.3160,5.0810,283.9364,1442.6712

370.3160,5.0805,283.9379,1442.5434

371.3160,5.0807,283.9366,1442.6073

372.3160,5.0806,283.9380,1442.5739

373.3160,5.0797,283.9428,1442.3408

374.3160,5.0804,283.9403,1442.5308

375.3160,5.0806,283.9395,1442.5951

376.3170,5.0804,283.9403,1442.5436

377.3170,5.0798,283.9438,1442.3654

378.3160,5.0794,283.9459,1442.2645

379.3160,5.0791,283.9475,1442.2065

380.3160,5.0778,283.9532,1441.8658

381.3160,5.0780,283.9529,1441.9250

382.3160,5.0784,283.9522,1442.0149

383.3160,5.0784,283.9520,1442.0112

384.3160,5.0783,283.9527,1442.0062

385.3160,5.0781,283.9541,1441.9422

386.3160,5.0777,283.9560,1441.8315

387.3160,5.0776,283.9569,1441.8296

388.3160,5.0783,283.9550,1442.0108

389.3160,5.0781,283.9557,1441.9472

390.3160,5.0780,283.9575,1441.9287

391.3160,5.0780,283.9579,1441.9280

392.3160,5.0782,283.9563,1441.9856

393.3160,5.0783,283.9564,1442.0213

394.3160,5.0782,283.9572,1441.9772

395.3170,5.0781,283.9587,1441.9761

396.3170,5.0780,283.9597,1441.9520

397.3160,5.0778,283.9599,1441.8815

398.3160,5.0778,283.9599,1441.8995

399.3160,5.0776,283.9602,1441.8433

400.3160,5.0778,283.9605,1441.8996

401.3160,5.0778,283.9612,1441.8948

402.3160,5.0776,283.9622,1441.8448

403.3170,5.0779,283.9611,1441.9336

404.3160,5.0768,283.9655,1441.6471

405.3160,5.0771,283.9650,1441.7123

406.3160,5.0774,283.9637,1441.7931

407.3160,5.0772,283.9654,1441.7609

408.3160,5.0775,283.9642,1441.8218

409.3160,5.0776,283.9636,1441.8454

410.3160,5.0770,283.9665,1441.6890

411.3160,5.0774,283.9654,1441.8028

412.3160,5.0773,283.9658,1441.7933

413.3160,5.0773,283.9673,1441.7757

414.3160,5.0768,283.9697,1441.6619

415.3160,5.0773,283.9682,1441.7810

416.3160,5.0772,283.9689,1441.7742

417.3160,5.0770,283.9691,1441.7076

418.3160,5.0775,283.9681,1441.8447

419.3160,5.0774,283.9685,1441.8225

420.3170,5.0773,283.9690,1441.8085

421.3160,5.0769,283.9722,1441.6913

422.3170,5.0770,283.9719,1441.7168

423.3160,5.0773,283.9709,1441.7954

424.3170,5.0774,283.9706,1441.8353

425.3160,5.0774,283.9704,1441.8254

426.3160,5.0776,283.9705,1441.8803

427.3170,5.0772,283.9718,1441.7690

428.3160,5.0766,283.9736,1441.6210

429.3160,5.0772,283.9726,1441.7927

430.3160,5.0773,283.9718,1441.8178

431.3160,5.0774,283.9724,1441.8555

432.3160,5.0776,283.9719,1441.8832

433.3160,5.0776,283.9724,1441.9120

434.3160,5.0771,283.9752,1441.7725

435.3160,5.0773,283.9738,1441.8332

436.3160,5.0769,283.9769,1441.7178

437.3160,5.0769,283.9785,1441.7335

438.3160,5.0767,283.9791,1441.6741

439.3160,5.0763,283.9808,1441.5751

440.3170,5.0769,283.9788,1441.7186

