Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.8470,0.7799,2.0413,0.0000,0.0000

2.4660,0.7670,1.9744,0.0000,0.0000

3.4660,0.7627,1.9744,0.0000,0.0001

4.4660,0.7665,2.0362,0.0000,0.0004

5.4660,0.7652,1.9898,0.0000,0.0001

6.4660,0.7647,1.9950,0.0000,0.0001

7.4660,0.7652,2.0104,0.0000,0.0001

8.4660,0.7670,2.0413,0.0000,0.0001

9.4660,0.7663,1.9898,0.0000,0.0001

10.4660,0.7666,2.0156,0.0000,0.0001

11.4660,0.7658,2.0207,0.0000,0.0001

12.4660,0.7676,2.0207,0.0000,0.0001

13.4660,0.7686,2.0001,0.0000,0.0001

14.4670,0.7666,1.9847,0.0000,0.0001

15.4660,0.7674,2.0104,0.0000,0.0004

16.4660,0.7678,2.0053,0.0000,0.0009

17.4660,0.7712,2.0979,0.0000,0.0009

18.4660,0.7692,1.9898,0.0000,0.0009

19.4660,0.7694,1.9950,0.0000,0.0009

20.4660,0.7674,1.9641,0.0000,0.0450

21.4660,0.7646,1.9487,55.1912,0.1349

22.4670,0.7611,1.9281,60.6863,0.3414

23.4660,0.7595,1.9590,59.5628,0.2517

24.4660,0.7575,1.9333,57.6823,0.2697

25.4660,0.7549,1.9435,57.3521,0.2871

26.4660,0.7525,1.9435,58.7955,0.3181

27.4660,0.7466,1.9435,58.8946,0.3005

28.4660,0.7456,1.9641,57.9371,0.2698

29.4660,0.7440,1.9538,58.0956,0.2426

30.4660,0.7440,1.9641,58.7625,0.3229

31.4660,0.7440,1.9487,58.9100,0.3246

32.4660,0.7438,1.9230,58.5059,0.3118

33.4660,0.7430,1.9384,57.9975,0.2375

34.4660,0.7426,1.9230,58.5736,0.2872

35.4660,0.7412,1.9075,58.8000,0.3200

36.4660,0.7390,1.8869,58.7243,0.3273

37.4660,0.7364,1.8767,59.0889,0.3046

38.4660,0.7347,1.9178,59.0387,0.2473

39.4660,0.7321,1.8869,59.2208,0.3016

40.4660,0.7283,1.8664,58.9104,0.2554

41.4660,0.7245,1.8509,58.9610,0.2304

42.4670,0.7216,1.8458,59.0426,0.3023

