Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
1.9080,NaN,NaN,NaN

2.3420,0.0023,0.7106,0.0016

3.3420,0.0023,0.7114,0.0016

4.3420,0.0023,0.7100,0.0016

5.3420,0.0023,0.7121,0.0016

6.3420,0.0023,0.7123,0.0016

7.3420,0.0023,0.7137,0.0016

8.3420,0.0023,0.7115,0.0016

9.3420,0.0023,0.7113,0.0016

10.3420,0.0023,0.7137,0.0016

11.3420,0.0023,0.7121,0.0016

12.3420,0.0023,0.7118,0.0016

13.3420,0.0023,0.7081,0.0016

14.3420,0.0023,0.7174,0.0016

15.3420,0.0023,0.7093,0.0016

16.3420,0.0023,0.7122,0.0016

17.3420,0.0023,0.7112,0.0016

18.3420,0.0023,0.7132,0.0016

19.3420,0.0023,0.7074,0.0016

20.3420,0.0023,0.7116,0.0016

21.3420,0.0023,0.7146,0.0016

22.3430,0.0023,0.7093,0.0016

23.3430,0.0023,0.7125,0.0016

24.3420,0.0023,0.7091,0.0016

25.3420,0.0023,0.7077,0.0016

26.3420,0.0023,0.7113,0.0016

27.3430,0.0023,0.7102,0.0016

28.3420,0.0023,0.7007,0.0016

29.3420,0.0023,0.7070,0.0016

30.3420,0.0023,0.7084,0.0016

31.3420,0.0023,0.7002,0.0016

32.3420,0.0023,0.7071,0.0016

33.3420,0.0023,0.7051,0.0016

34.3420,0.0023,0.7036,0.0016

35.3420,0.0023,0.7046,0.0016

36.3420,0.0023,0.7031,0.0016

37.3420,0.0023,0.7058,0.0016

38.3420,0.0023,0.7094,0.0016

39.3430,0.0023,0.7057,0.0016

40.3420,0.0023,0.7029,0.0016

41.3420,0.0023,0.7078,0.0016

42.3420,0.0023,0.7147,0.0016

43.3430,0.0023,0.7091,0.0016

44.3420,0.0023,0.7052,0.0016

45.3420,0.0023,0.7058,0.0016

46.3420,0.0023,0.7010,0.0016

47.3420,0.0023,0.7009,0.0016

48.3420,0.0023,0.7011,0.0016

49.3420,0.0023,0.6993,0.0016

50.3420,0.0023,0.6999,0.0016

51.3430,0.0023,0.7043,0.0016

52.3420,0.0023,0.7032,0.0016

53.3430,0.0023,0.7021,0.0016

54.3420,0.0023,0.7042,0.0016

55.3420,0.0023,0.6979,0.0016

56.3430,0.0023,0.6996,0.0016

57.3420,0.0023,0.6997,0.0016

58.3420,0.0023,0.7070,0.0016

59.3420,0.0023,0.7053,0.0016

60.3420,0.0023,0.7048,0.0016

61.3420,0.0023,0.7053,0.0016

62.3420,0.0023,0.6968,0.0016

63.3420,0.0023,0.7006,0.0016

64.3420,0.0023,0.7053,0.0016

65.3420,0.0023,0.7020,0.0016

66.3420,0.0023,0.6960,0.0016

67.3420,0.0023,0.6972,0.0016

68.3420,0.0023,0.6938,0.0016

69.3420,0.0023,0.7046,0.0016

70.3430,0.0023,0.6988,0.0016

71.3420,0.0023,0.6971,0.0016

72.3420,0.0023,0.7008,0.0016

73.3420,0.0023,0.7037,0.0016

74.3420,0.0023,0.7007,0.0016

75.3420,0.0023,0.6999,0.0016

76.3420,0.0023,0.6989,0.0016

77.3420,0.0023,0.6930,0.0016

78.3420,0.0023,0.6933,0.0016

79.3420,0.0023,0.6917,0.0016

80.3430,0.0022,0.6899,0.0015

81.3430,0.0022,0.6932,0.0016

82.3420,0.0023,0.6946,0.0016

83.3420,0.0023,0.6971,0.0016

84.3420,0.0023,0.6940,0.0016

85.3420,0.0023,0.6929,0.0016

86.3420,0.0023,0.6936,0.0016

87.3420,0.0023,0.6912,0.0016

88.3430,0.0023,0.6919,0.0016

89.3430,0.0023,0.6897,0.0016

90.3420,0.0023,0.6862,0.0016

91.3420,0.0023,0.6866,0.0016

92.3420,0.0023,0.6901,0.0016

93.3420,0.0023,0.6899,0.0016

94.3420,0.0023,0.6894,0.0016

95.3420,0.0023,0.6912,0.0016

96.3420,0.0023,0.6874,0.0016

97.3420,0.0023,0.6891,0.0016

98.3420,0.0023,0.6840,0.0016

99.3420,0.0023,0.6853,0.0015

100.3420,0.0023,0.6874,0.0016

101.3420,0.0023,0.6853,0.0016

102.3420,0.0023,0.6905,0.0016

103.3420,0.0023,0.6854,0.0015

104.3420,0.0023,0.6826,0.0015

105.3420,0.0023,0.6865,0.0016

106.3420,0.0023,0.6856,0.0016

107.3420,0.0023,0.6881,0.0016

108.3420,0.0023,0.6845,0.0016

109.3430,0.0023,0.6874,0.0016

110.3420,0.0023,0.6817,0.0015

111.3420,0.0023,0.6792,0.0015

112.3430,0.0023,0.6791,0.0016

113.3420,0.0023,0.6778,0.0015

114.3420,0.0023,0.6786,0.0016

115.3420,0.0023,0.6834,0.0015

116.3420,0.0023,0.6787,0.0016

117.3420,0.0023,0.6775,0.0015

118.3420,0.0023,0.6758,0.0015

119.3420,0.0023,0.6795,0.0016

120.3430,0.0023,0.6814,0.0016

121.3420,0.0023,0.6761,0.0015

122.3420,0.0023,0.6774,0.0016

123.3420,0.0023,0.6710,0.0015

124.3420,0.0023,0.6758,0.0016

125.3420,0.0023,0.6720,0.0015

126.3420,0.0023,0.6765,0.0015

127.3420,0.0023,0.6812,0.0015

128.3420,0.0023,0.6746,0.0015

129.3420,0.0023,0.6762,0.0016

130.3420,0.0023,0.6764,0.0015

131.3420,0.0023,0.6760,0.0016

132.3430,0.0023,0.6743,0.0015

133.3420,0.0023,0.6763,0.0015

134.3420,0.0023,0.6758,0.0015

135.3430,0.0023,0.6772,0.0015

136.3420,0.0023,0.6751,0.0015

137.3420,0.0023,0.6772,0.0015

138.3420,0.0023,0.6824,0.0016

139.3420,0.0023,0.6738,0.0015

140.3420,0.0023,0.6758,0.0015

141.3420,0.0023,0.6739,0.0015

142.3430,0.0023,0.6732,0.0015

143.3420,0.0023,0.6751,0.0015

144.3420,0.0023,0.6702,0.0015

145.3420,0.0023,0.6731,0.0015

146.3420,0.0023,0.6692,0.0015

147.3420,0.0023,0.6702,0.0015

148.3420,0.0023,0.6711,0.0015

149.3420,0.0022,0.6752,0.0015

150.3420,0.0023,0.6707,0.0015

151.3420,0.0023,0.6749,0.0015

152.3420,0.0023,0.6716,0.0015

153.3420,0.0023,0.6684,0.0015

154.3420,0.0023,0.6694,0.0015

155.3430,0.0023,0.6725,0.0015

156.3420,0.0023,0.6768,0.0016

157.3420,0.0023,0.6746,0.0015

158.3420,0.0023,0.6720,0.0015

159.3420,0.0023,0.6696,0.0015

160.3420,0.0023,0.6687,0.0015

161.3420,0.0023,0.6636,0.0015

162.3420,0.0023,0.6652,0.0015

163.3430,0.0023,0.6658,0.0015

164.3420,0.0023,0.6680,0.0015

165.3420,0.0023,0.6692,0.0015

166.3420,0.0023,0.6716,0.0015

167.3420,0.0023,0.6620,0.0015

168.3420,0.0023,0.6628,0.0015

169.3420,0.0023,0.6629,0.0015

170.3420,0.0023,0.6689,0.0015

171.3420,0.0023,0.6679,0.0015

172.3420,0.0022,0.6618,0.0015

173.3420,0.0022,0.6573,0.0015

174.3420,0.0023,0.6603,0.0015

175.3420,0.0023,0.6653,0.0015

176.3420,0.0023,0.6564,0.0015

177.3420,0.0023,0.6619,0.0015

