Elapsed Time (s),T1 (deg C),T2 (deg C),T3 (deg C),T4 (deg C),T5 (deg C),T6 (deg C),T7 (deg C),T8 (deg C),Main Loop Avg Temp (deg C),HX Avg Temp (deg C),Overall Avg Temp (deg C)
1.8920,24.5102,24.2013,23.7370,23.6533,23.7958,24.8183,23.9541,25.0341,23.9795,24.9262,24.2130

2.2470,24.5195,24.1864,23.7306,23.6724,23.7749,24.8144,23.9717,25.0529,23.9768,24.9337,24.2154

3.2120,24.4832,24.2079,23.7213,23.6575,23.7637,24.8145,23.9743,25.0526,23.9667,24.9335,24.2094

4.2120,24.4811,24.1955,23.7170,23.6565,23.7597,24.8194,23.9657,25.0689,23.9619,24.9442,24.2080

5.2120,24.5008,24.1802,23.7400,23.6515,23.7623,24.8212,23.9726,25.0503,23.9670,24.9357,24.2099

6.2120,24.4975,24.1792,23.7186,23.6803,23.7576,24.8396,23.9839,25.0385,23.9666,24.9390,24.2119

7.2120,24.4870,24.1757,23.7260,23.6579,23.7486,24.8187,23.9885,25.0464,23.9591,24.9326,24.2061

8.2120,24.4835,24.1881,23.7290,23.6661,23.7768,24.8091,23.9843,25.0496,23.9687,24.9293,24.2108

9.2120,24.5004,24.1736,23.7296,23.6454,23.7676,24.8198,23.9769,25.0324,23.9633,24.9261,24.2057

10.2120,24.5069,24.1900,23.7262,23.6553,23.7770,24.7899,23.9669,25.0460,23.9711,24.9179,24.2073

11.2130,24.5299,24.2024,23.7315,23.6771,23.7683,24.8115,23.9793,25.0387,23.9818,24.9251,24.2173

12.2130,24.4946,24.1916,23.7344,23.6890,23.7567,24.7881,23.9770,25.0559,23.9733,24.9220,24.2109

13.2120,24.5101,24.1997,23.7118,23.6668,23.7712,24.8036,23.9534,25.0502,23.9719,24.9269,24.2084

14.2130,24.4916,24.1902,23.7202,23.6601,23.7645,24.8308,23.9722,25.0548,23.9653,24.9428,24.2105

15.2120,24.5082,24.1981,23.7234,23.6595,23.7423,24.8064,23.9575,25.0615,23.9663,24.9339,24.2071

16.2120,24.5023,24.2061,23.7215,23.6590,23.7827,24.7962,23.9754,25.0612,23.9743,24.9287,24.2131

17.2120,24.4941,24.1756,23.7344,23.6706,23.7646,24.8074,23.9491,25.0696,23.9679,24.9385,24.2082

18.2120,24.5099,24.1970,23.7327,23.6802,23.7615,24.8000,23.9739,25.0627,23.9763,24.9313,24.2147

