Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
1.8920,NaN,NaN,NaN

2.2470,0.0015,0.0773,0.0001

3.2120,0.0016,0.0485,0.0001

4.2120,0.0015,0.0654,0.0001

5.2120,0.0015,0.0644,0.0001

6.2120,0.0015,0.0716,0.0001

7.2120,0.0015,0.0739,0.0001

8.2120,0.0015,0.0629,0.0001

9.2120,0.0015,0.0699,0.0001

10.2120,0.0015,0.0729,0.0001

11.2130,0.0015,0.0759,0.0001

12.2130,0.0015,0.0724,0.0001

13.2120,0.0013,0.0598,0.0001

14.2130,-0.0007,-0.0170,0.0000

15.2120,1.1442,44.4666,50.8807

16.2120,2.7895,111.5101,311.0593

17.2120,2.8388,113.3725,321.8421

18.2120,3.1822,129.1736,411.0588

19.2120,3.7056,161.3053,597.7319

20.2120,3.7635,165.3359,622.2480

21.2130,3.7248,163.5873,609.3308

22.2130,3.7226,163.1275,607.2655

23.2130,3.7239,162.7715,606.1477

24.2120,3.7258,162.2877,604.6538

25.2120,3.7278,161.7427,602.9401

26.2130,3.7280,161.6604,602.6643

27.2120,3.7283,161.6087,602.5238

28.2130,3.7317,160.6812,599.6206

29.2120,3.7342,159.9276,597.2020

30.2120,3.7342,159.9761,597.3875

31.2120,3.7355,159.6220,596.2663

32.2130,3.7356,159.4851,595.7788

33.2120,3.7353,159.6546,596.3550

34.2120,3.7317,160.6175,599.3698

35.2120,3.7380,158.9339,594.1006

36.2120,3.7366,159.2433,595.0219

37.2120,3.7378,158.9489,594.1124

38.2120,3.7366,159.2276,594.9689

39.2120,3.7369,159.1839,594.8556

40.2120,3.7360,159.3799,595.4495

41.2120,0.9563,40.8789,39.0911

42.2120,0.0019,0.1183,0.0002

43.2120,0.0015,0.1116,0.0002

44.2120,0.0014,0.1170,0.0002

45.2120,0.0014,0.1068,0.0002

46.2120,0.0014,0.1128,0.0002

47.2120,0.0014,0.0970,0.0001

48.2120,0.0014,0.1113,0.0002

49.2120,0.0014,0.1060,0.0002

50.2120,0.0014,0.0962,0.0001

51.2120,0.0014,0.0962,0.0001

52.2120,0.0014,0.0957,0.0001

53.2120,0.0014,0.1145,0.0002

54.2120,0.0014,0.1041,0.0001

55.2120,0.0014,0.1000,0.0001

56.2120,0.0014,0.0988,0.0001

57.2120,0.0014,0.0891,0.0001

58.2120,0.0014,0.0923,0.0001

59.2130,0.0014,0.0866,0.0001

60.2120,0.0014,0.0912,0.0001

61.2120,0.0015,0.0988,0.0001

62.2130,0.0015,0.0970,0.0001

63.2120,0.0015,0.0878,0.0001

64.2120,0.0015,0.0980,0.0001

65.2120,0.0015,0.1016,0.0002

66.2120,0.0015,0.1011,0.0001

67.2120,0.0015,0.1005,0.0001

68.2120,0.0015,0.0906,0.0001

69.2120,0.0015,0.0815,0.0001

70.2130,0.0015,0.0990,0.0001

71.2120,0.0015,0.0906,0.0001

72.2120,0.0015,0.0857,0.0001

73.2120,0.0015,0.0775,0.0001

74.2120,0.0015,0.0907,0.0001

75.2120,0.0015,0.0853,0.0001

76.2120,0.0015,0.0837,0.0001

77.2120,0.0015,0.0950,0.0001

78.2120,0.0015,0.0866,0.0001

79.2120,0.0015,0.0826,0.0001

80.2120,0.0015,0.0960,0.0001

81.2130,0.0015,0.0810,0.0001

82.2120,0.0015,0.0954,0.0001

83.2120,0.0015,0.0916,0.0001

84.2120,0.0015,0.0886,0.0001

85.2120,0.0015,0.0839,0.0001

86.2120,0.0015,0.0828,0.0001

87.2130,0.0015,0.0824,0.0001

88.2120,0.0015,0.0862,0.0001

89.2120,0.0015,0.0863,0.0001

90.2120,0.0015,0.0747,0.0001

91.2120,0.0015,0.0998,0.0001

92.2120,0.0015,0.0924,0.0001

93.2130,0.0015,0.0937,0.0001

94.2130,0.0015,0.0893,0.0001

95.2120,0.0015,0.0865,0.0001

96.2120,0.0015,0.0935,0.0001

97.2120,0.0015,0.0951,0.0001

98.2120,0.0015,0.0970,0.0001

99.2120,0.0015,0.0810,0.0001

100.2120,0.0015,0.0808,0.0001

101.2120,0.0015,0.0895,0.0001

102.2120,0.0015,0.0981,0.0002

103.2120,0.0015,0.0895,0.0001

104.2120,0.0015,0.0953,0.0001

105.2120,0.0015,0.0927,0.0001

106.2120,0.0015,0.0981,0.0001

107.2120,0.0015,0.0933,0.0001

108.2130,0.0015,0.0937,0.0001

109.2120,0.0015,0.0905,0.0001

110.2120,0.0015,0.0886,0.0001

111.2120,0.0015,0.0892,0.0001

112.2120,0.0015,0.0789,0.0001

113.2120,0.0015,0.0956,0.0001

114.2120,0.0015,0.0918,0.0001

115.2120,0.0015,0.0824,0.0001

116.2120,0.0015,0.0970,0.0001

117.2120,0.0015,0.0883,0.0001

118.2130,0.0015,0.0898,0.0001

119.2120,0.0015,0.0966,0.0001

120.2120,0.0015,0.0928,0.0001

121.2120,0.0015,0.0885,0.0001

122.2120,0.0015,0.0987,0.0002

123.2120,0.0015,0.0865,0.0001

124.2120,0.0015,0.0964,0.0001

125.2120,0.0015,0.0900,0.0001

126.2120,0.0015,0.0956,0.0001

127.2120,0.0015,0.0837,0.0001

128.2120,0.0015,0.0989,0.0001

129.2130,0.0015,0.0920,0.0001

130.2120,0.0015,0.0998,0.0002

131.2120,0.0015,0.0960,0.0001

132.2120,0.0015,0.0929,0.0001

133.2120,0.0015,0.0848,0.0001

134.2120,0.0015,0.0821,0.0001

135.2130,0.0015,0.0877,0.0001

136.2130,0.0015,0.0826,0.0001

137.2120,0.0015,0.0921,0.0001

138.2120,0.0015,0.0847,0.0001

139.2120,0.0015,0.0867,0.0001

140.2120,0.0015,0.0943,0.0001

141.2120,0.0015,0.1004,0.0002

142.2130,0.0015,0.0970,0.0001

143.2120,0.0015,0.0968,0.0001

144.2120,0.0015,0.0964,0.0001

145.2120,0.0015,0.0926,0.0001

146.2120,0.0015,0.0941,0.0001

147.2120,0.0015,0.0963,0.0001

148.2120,0.0015,0.0869,0.0001

149.2120,0.0015,0.0961,0.0001

150.2120,0.0015,0.0988,0.0002

151.2120,0.0015,0.0850,0.0001

152.2120,0.0015,0.1053,0.0002

153.2120,0.0015,0.1036,0.0002

154.2120,0.0015,0.0882,0.0001

155.2120,0.0015,0.0881,0.0001

156.2120,0.0015,0.0859,0.0001

157.2120,0.0015,0.0999,0.0002

158.2120,0.0016,0.1028,0.0002

159.2120,0.0015,0.0891,0.0001

160.2120,0.0015,0.0883,0.0001

161.2120,0.0015,0.0829,0.0001

162.2120,0.0016,0.0895,0.0001

