Elapsed Time (s), Rod voltage (V), Rod Current (A), Rod Power (W)
1.9190,NaN,NaN,NaN

2.4120,0.0016,0.0763,0.0001

3.4120,0.0016,0.1004,0.0002

4.4120,0.0016,0.0860,0.0001

5.4120,0.0016,0.0985,0.0002

6.4120,0.0016,0.0887,0.0001

7.4120,0.0016,0.1013,0.0002

8.4120,0.0016,0.0862,0.0001

9.4120,0.0016,0.0912,0.0001

10.4120,0.0016,0.0912,0.0001

11.4120,0.0016,0.0904,0.0001

12.4120,0.0016,0.0820,0.0001

13.4130,0.0015,0.0835,0.0001

14.4120,0.0016,0.0939,0.0001

15.4120,-0.0001,0.0272,-0.0000

16.4120,0.3169,13.1937,4.1806

17.4120,3.5244,158.4285,558.3634

18.4120,3.6976,165.3770,611.4995

19.4120,3.7143,164.5160,611.0585

20.4120,3.7247,162.2054,604.1626

21.4120,3.7293,161.0182,600.4828

22.4120,3.7302,160.8725,600.0791

23.4120,3.7268,161.7179,602.6864

24.4120,3.7223,163.0250,606.8271

25.4120,3.7250,162.3531,604.7623

26.4120,3.7254,162.1539,604.0861

27.4130,3.7156,164.6957,611.9423

28.4120,3.6846,173.2440,638.3348

29.4120,3.6886,172.3910,635.8812

30.4120,3.6916,171.5424,633.2578

31.4120,3.6967,170.1663,629.0513

32.4120,3.7053,167.8042,621.7731

33.4120,3.7129,165.6677,615.1102

34.4130,3.7230,162.9342,606.5961

35.4120,3.7212,163.2389,607.4375

36.4120,3.7162,164.5816,611.6212

37.4120,3.7097,166.4060,617.3100

38.4120,3.7104,166.1990,616.6701

39.4120,3.7106,166.1928,616.6763

40.4120,3.7106,166.1964,616.6925

41.4120,3.7106,166.1701,616.5940

42.4120,3.7125,165.6498,614.9758

43.4120,3.7154,164.8572,612.5136

44.4120,3.7170,164.3799,610.9977

45.4120,3.7176,164.2285,610.5293

46.4130,3.7169,164.3569,610.9056

47.4120,3.7155,164.7063,611.9731

48.4120,3.7140,165.1578,613.4023

49.4120,3.7134,165.2998,613.8313

50.4120,3.7138,165.2257,613.6210

51.4120,3.7138,165.2107,613.5538

52.4130,3.7143,165.0591,613.0866

53.4120,3.7144,165.0233,612.9625

54.4120,3.7138,165.1720,613.4178

55.4120,3.7127,165.4800,614.3797

56.4120,3.7134,165.2980,613.8129

57.4120,3.7144,165.0203,612.9554

58.4120,3.7137,165.1740,613.4120

59.4120,3.7128,165.4250,614.1897

60.4120,3.7135,165.2234,613.5609

61.4120,3.7143,165.0200,612.9256

62.4120,3.7135,165.1851,613.4187

63.4120,3.7060,167.0869,619.2182

64.4120,3.6844,173.1461,637.9457

65.4120,3.6878,172.2895,635.3687

66.4120,3.6878,172.3106,635.4398

67.4120,3.6875,172.3710,635.6192

68.4120,3.6891,171.9629,634.3830

69.4120,3.6897,171.7521,633.7081

70.4120,3.6911,171.1923,631.8874

71.4130,3.6930,170.9570,631.3456

72.4120,3.6935,170.8033,630.8558

73.4120,3.6929,170.8581,630.9568

74.4120,3.6931,170.8355,630.9121

75.4120,3.6939,170.6058,630.1992

76.4120,3.6944,170.4261,629.6263

