Elapsed Time (s),P1 (psi),P2 (psi),P3 (psi),P4 (psi),P5 (psi),P6 (psi),P7 (psi),Main Loop Avg Pressure (psi),HX Pressure (psi),Overall Avg Pressure (psi)
1.8990,0.1067,-0.2640,1.8355,1.7747,2.0208,1.4039,0.1677,0.9402,1.4039,1.0065

2.2550,-0.0168,-0.0788,1.7738,1.5895,1.5268,1.2187,0.3529,0.8579,1.2187,0.9095

2.9710,-0.0785,-0.0788,2.0208,1.8364,1.4651,1.3421,0.1677,0.8888,1.3421,0.9536

3.9710,-0.0785,-0.0788,1.6503,1.5895,1.2799,1.4656,1.1555,0.9197,1.4656,0.9977

4.9710,0.4153,-0.0170,1.7738,1.5895,1.6503,0.7865,0.1677,0.9299,0.7865,0.9094

5.9710,0.1684,-0.6344,2.0208,1.4660,1.8973,1.0952,0.3529,0.8785,1.0952,0.9095

6.9710,-0.0785,-0.0170,1.7738,1.8364,1.4033,1.4039,0.4764,0.8991,1.4039,0.9712

7.9710,-0.4489,0.3534,1.6503,1.4660,1.6503,1.2804,0.5381,0.8682,1.2804,0.9271

8.9710,0.1684,0.3534,1.8973,1.6512,1.4033,1.3421,0.2294,0.9505,1.3421,1.0065

9.9710,-0.0785,0.2917,1.5886,1.4660,1.6503,1.2804,0.4147,0.8888,1.2804,0.9447

10.9710,-0.0785,-0.2022,1.8973,1.7747,1.8973,1.5891,0.4147,0.9505,1.5891,1.0418

11.9710,-0.0168,-0.1405,1.8973,1.6512,2.0208,1.6508,0.3529,0.9608,1.6508,1.0594

12.9710,-0.0785,-0.2640,1.7121,1.7129,1.8355,1.6508,0.2912,0.8682,1.6508,0.9800

13.9710,0.2302,-0.1405,1.6503,1.5277,1.5886,1.2804,0.3529,0.8682,1.2804,0.9271

14.9720,-0.0785,-0.0788,1.5886,1.7747,1.5886,1.4039,0.5999,0.8991,1.4039,0.9712

15.9710,-0.0785,0.3534,1.5268,1.5277,1.6503,1.4039,0.3529,0.8888,1.4039,0.9624

16.9710,0.0450,0.2917,1.8973,1.4660,1.5268,1.3421,0.4147,0.9402,1.3421,0.9977

17.9710,-0.0785,-0.0788,2.2060,1.5277,1.7738,1.7743,0.5381,0.9814,1.7743,1.0947

