Elapsed Time (s),Heat Exchanger Flow (GPM),Flow Raw Voltage (V), Main Loop Flow (GPM), Flow Signal Amplitude (V)
1.8990,0.0094,0.0450,0.0000,0.0000

2.2550,0.0094,0.0450,0.0000,0.0000

2.9710,0.0080,0.0347,0.0000,0.0004

3.9710,0.0099,0.0604,0.0000,0.0004

4.9710,0.0102,0.0501,0.0000,0.0004

5.9710,0.0127,0.0862,0.0000,0.0004

6.9710,0.0116,0.0347,0.0000,0.0003

7.9710,0.0106,0.0296,0.0000,0.0004

8.9710,0.0105,0.0450,0.0000,0.0004

9.9710,0.0100,0.0347,0.0000,0.0004

10.9710,0.0094,0.0296,0.0000,0.0004

11.9710,0.0082,0.0141,0.0000,0.0004

12.9710,0.0088,0.0501,0.0000,0.0004

13.9710,0.0092,0.0707,0.0000,0.0004

14.9720,0.0088,0.0399,0.0000,0.0004

15.9710,0.0066,0.0296,0.0000,0.0004

16.9710,0.0056,0.0090,0.0000,0.0004

17.9710,0.0054,0.0244,0.0000,0.0004

